tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,comment
Catalog,,distribution,refBack,,,,Distribution,,catalog,,"https://www.w3.org/ns/dcat#resource,https://www.w3.org/ns/dcat#distribution","A distribution belonging to this item.",DCAT,DCAT Dataset / DCAT-v3 Catalog: Added resource semantics
Catalog,,frequency,string,,,,,,,,http://purl.org/dc/terms/accrualPeriodicity,The frequency at which dataset is published.,DCAT,DCAT Dataset
Catalog,,in series,ref_array,,,,DatasetSeries,,,,https://www.w3.org/ns/dcat#inSeries,A series this item belongs to.,DCAT-v3,DCAT-v3 Dataset
Catalog,,spatial coverage,ontology_array,,,,Countries,,,,http://purl.org/dc/terms/spatial,The geographical area covered by the dataset.,DCAT,DCAT Dataset
Catalog,,spatial resolution,decimal,,,,,,,,http://purl.org/dc/terms/spatialResolutionInMeters,"Minimum spatial separation resolvable in a dataset, measured in meters.",DCAT,DCAT Dataset
Catalog,,temporal coverage,string,,,,,,,,http://purl.org/dc/terms/temporal,The temporal period that the dataset covers.,DCAT,DCAT Dataset
Catalog,,temporal resolution,string,,,,,,,,http://purl.org/dc/terms/temporalResolution,Minimum time period resolvable in the dataset.,DCAT,DCAT Dataset
Catalog,,was generated by,string_array,,,,,,,,http://www.w3.org/ns/prov#wasGeneratedBy,"An activity that generated, or provides the business context for, the creation of the dataset.",DCAT,DCAT Dataset
Catalog,,catalog record,refBack,,,,CatalogRecord,,catalog,,https://www.w3.org/ns/dcat#record,"A record describing the registration of a single resource (e.g., a dataset, a data service) that is part of this item.",DCAT,DCAT Catalog
Catalog,,dataset,refBack,,,,Dataset,,catalog,,"https://www.w3.org/ns/dcat#resource,https://www.w3.org/ns/dcat#dataset",A dataset within this item.,DCAT,DCAT Catalog / DCAT-v3 Catalog: Added resource semantics
Catalog,,service,refBack,,,,DataService,,catalog,,"https://www.w3.org/ns/dcat#resource,https://www.w3.org/ns/dcat#service",A service that is listed in this item.,DCAT,DCAT Catalog / DCAT-v3 Catalog: Added resource semantics
Catalog,,catalog,ref_array,,,,Catalog,,,,"https://www.w3.org/ns/dcat#resource,https://www.w3.org/ns/dcat#catalog",A catalog that is listed in this item.,DCAT,DCAT Catalog / DCAT-v3 Catalog: Added resource semantics
Catalog,,homepage,hyperlink,,,,,,,,http://xmlns.com/foaf/0.1/homepage,Homepage of the item (usually an HTML web document).,DCAT,DCAT Catalog
Catalog,,themes,hyperlink,,,,,,,,https://www.w3.org/ns/dcat#themeTaxonomy,"A knowledge organization system (KOS) used to classify the resources documented in this item (e.g., datasets and services).",DCAT,DCAT Catalog
Catalog,,applicable legislation,hyperlink_array,,,,,,,,http://data.europa.eu/r5r/applicableLegislation,Legislation that mandates creation or management of this item (must follow European Legislation Identifier (ELI) guidelines).,DCAT-AP-v3,DCAT-AP-v3 Catalog
Catalog,,EJP_RD vpConnection,hyperlink,,,,,,,,https://w3id.org/ejp-rd/vocabulary#vpConnection,"This property must be attached to every entity that you wish the EJP-RD Virtual Platform to explore.",EJP-RD
