tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,comment
DataService,,has version,ref_array,,,,DataService,,,,http://www.w3.org/ns/dcat#hasVersion,Used with an abstract item to refer to all items which represent different versions of this abstract item.,DCAT-v3,DCAT-v3 Resource
DataService,,has current version,ref,,,,DataService,,,,http://www.w3.org/ns/dcat#hasCurrentVersion,Used with an abstract item to refer to the item that represents the current version of this abstract item.,DCAT-v3,DCAT-v3 Resource
DataService,,replaces,hyperlink,,,,,,,,http://purl.org/dc/terms/replaces,A related item that is superseded by this item.,DCAT-v3,DCAT-v3 Resource
DataService,,version notes,string_array,,,,,,,,http://www.w3.org/ns/adms#versionNotes,A changelog regarding the differences between this version and the previous one.,DCAT-v3,DCAT-v3 Resource
DataService,,status,string,,,,,,,,http://www.w3.org/ns/adms#status,"The status of this item. Does not enforce a specific standard, though using existing standards such as ""EU Vocabularies Distribution Status"" is adviced.",DCAT-v3,DCAT-v3 Resource
DataService,,has part,hyperlink,,,,,,,,http://purl.org/dc/terms/hasPart,An object that is included in this item.,DCAT-v3,DCAT-v3 Resource
DataService,,first,ref,,,,DataService,,,,http://www.w3.org/ns/dcat#first,The first item in an ordered collection this item belongs to (when using dcat:DataSeries).,DCAT-v3,DCAT-v3 Resource
DataService,,last,ref,,,,DataService,,,,http://www.w3.org/ns/dcat#last,The last item in an ordered collection this item belongs to (when using dcat:DataSeries).,DCAT-v3,DCAT-v3 Resource
DataService,,previous,ref,,,,DataService,,,,http://www.w3.org/ns/dcat#prev,The previous item in an ordered collection this item belongs to (when using dcat:DataSeries).,DCAT-v3,DCAT-v3 Resource
DataService,,endpoint description,string_array,,,,,,,,http://www.w3.org/ns/dcat#endpointDescription,A description of the services available through this endpoint.,DCAT,DCAT DataService
DataService,,endpoint URL,hyperlink_array,,TRUE,,,,,,http://www.w3.org/ns/dcat#endpointURL,The root location of the endpoint.,DCAT,DCAT DataService / DCAT-AP-v3: required
DataService,,serves dataset,refBack,,,,Dataset,,,,http://www.w3.org/ns/dcat#servesDataset,A collection of data that this data service can distribute.,DCAT,DCAT DataService
DataService,,applicable legislation,hyperlink_array,,,,,,,,http://data.europa.eu/r5r/applicableLegislation,Legislation that mandates creation or management of this item (must follow European Legislation Identifier (ELI) guidelines).,DCAT-AP-v3,DCAT-AP-v3 DataService
DataService,,documentation,hyperlink_array,,,,,,,,http://xmlns.com/foaf/0.1/page,A page or document about this item.,DCAT-AP-v3,DCAT-AP-v3 DataService
DataService,,format,ontology_array,,,,FileFormats,,,,http://purl.org/dc/terms/format,The structure that can be returned by querying the endpointURL.,DCAT-AP-v3,DCAT-AP-v3 DataService
