order,name,label,parent,codesystem,code,ontologyTermURI,definition
413,dsExposome-1.1.1,1.1.1,dsExposome-1,,,,
414,dsExposome-1.0.2,1.0.2,dsExposome-1,,,,
415,dsExposome-1.0.1,1.0.1,dsExposome-1,,,,
501,dsSurvival-2,2,dsSurvival,,,,
502,dsSurvival-1,1,dsSurvival,,,,
503,dsSurvival-2.1.3,2.1.3,dsSurvival-2,,,,
504,dsSurvival-2.1.2,2.1.2,dsSurvival-2,,,,
505,dsSurvival-2.1.1,2.1.1,dsSurvival-2,,,,
506,dsSurvival-2.1.0,2.1.0,dsSurvival-2,,,,
507,dsSurvival-2.0.0,2.0.0,dsSurvival-2,,,,
508,dsSurvival-1.0.1,1.0.1,dsSurvival-1,,,,
509,dsSurvival-1.0.0,1.0.0,dsSurvival-1,,,,
601,dsMTLBase-0.10.0,0.10.0,dsMTLBase,,,,
602,dsMTLBase-0.9.0,0.9.0,dsMTLBase,,,,
603,dsMTLBase-0.8.0,0.8.0,dsMTLBase,,,,
604,dsMTLBase-0.7.0,0.7.0,dsMTLBase,,,,
605,dsMTLBase-0.6.0,0.6.0,dsMTLBase,,,,
606,dsMTLBase-0.5.0,0.5.0,dsMTLBase,,,,
607,dsMTLBase-0.4.0,0.4.0,dsMTLBase,,,,
608,dsMTLBase-0.3.0,0.3.0,dsMTLBase,,,,
609,dsMTLBase-0.2.0,0.2.0,dsMTLBase,,,,
610,dsMTLBase-0.1.0,0.1.0,dsMTLBase,,,,
