network,variable.resource,variable.dataset,variable.name
LifeCycle,LifeCycle_CDM,core,blueyn300_t1
LifeCycle,LifeCycle_CDM,core,bn_m_0
LifeCycle,LifeCycle_CDM,core,breastfed_any
LifeCycle,LifeCycle_CDM,core,breastfed_excl
LifeCycle,LifeCycle_CDM,core,bus_lines_100_0
LifeCycle,LifeCycle_CDM,core,bus_lines_100_preg
LifeCycle,LifeCycle_CDM,core,bus_lines_100_t1
LifeCycle,LifeCycle_CDM,core,bus_lines_300_0
LifeCycle,LifeCycle_CDM,core,bus_lines_300_preg
LifeCycle,LifeCycle_CDM,core,bus_lines_300_t1
LifeCycle,LifeCycle_CDM,outcome,crp_cord
LifeCycle,LifeCycle_CDM,core,bus_lines_500_0
LifeCycle,LifeCycle_CDM,core,bus_lines_500_preg
LifeCycle,LifeCycle_CDM,core,bus_lines_500_t1
LifeCycle,LifeCycle_CDM,core,bus_stops_100_0
LifeCycle,LifeCycle_CDM,core,bus_stops_100_preg
LifeCycle,LifeCycle_CDM,core,bus_stops_100_t1
LifeCycle,LifeCycle_CDM,core,bus_stops_300_0
LifeCycle,LifeCycle_CDM,core,bus_stops_300_preg
LifeCycle,LifeCycle_CDM,core,bus_stops_300_t1
LifeCycle,LifeCycle_CDM,core,bus_stops_500_0
LifeCycle,LifeCycle_CDM,core,bus_stops_500_preg
LifeCycle,LifeCycle_CDM,core,bus_stops_500_t1
LifeCycle,LifeCycle_CDM,core,cats_0
LifeCycle,LifeCycle_CDM,core,cats_quant_preg
LifeCycle,LifeCycle_CDM,core,cer_palsy
LifeCycle,LifeCycle_CDM,core,childcare_0
LifeCycle,LifeCycle_CDM,core,childcarecentre_0
LifeCycle,LifeCycle_CDM,core,childcare_intro
LifeCycle,LifeCycle_CDM,core,childcareprof_0
LifeCycle,LifeCycle_CDM,core,childcarerel_0
LifeCycle,LifeCycle_CDM,core,child_id
LifeCycle,LifeCycle_CDM,outcome,cbpage_0
LifeCycle,LifeCycle_CDM,outcome,chol_cord
LifeCycle,LifeCycle_CDM,core,cob_p
LifeCycle,LifeCycle_CDM,core,cob_p_fath
LifeCycle,LifeCycle_CDM,core,cohab_0
LifeCycle,LifeCycle_CDM,core,coh_country
LifeCycle,LifeCycle_CDM,core,cohort_id
LifeCycle,LifeCycle_CDM,core,con_anomalies
LifeCycle,LifeCycle_CDM,core,connind100_0
LifeCycle,LifeCycle_CDM,core,connind100_t1
LifeCycle,LifeCycle_CDM,core,connind300_0
LifeCycle,LifeCycle_CDM,core,connind300_preg
LifeCycle,LifeCycle_CDM,core,connind300_t1
LifeCycle,LifeCycle_CDM,outcome,COPD_adult_diagnosis
LifeCycle,LifeCycle_CDM,outcome,COPD_adult_GOLD
LifeCycle,LifeCycle_CDM,outcome,COPD_adult_LLN
LifeCycle,LifeCycle_CDM,core,dairy_pgn
LifeCycle,LifeCycle_CDM,core,dairy_psc
LifeCycle,LifeCycle_CDM,core,dairy_sch
LifeCycle,LifeCycle_CDM,core,dash_pgn
LifeCycle,LifeCycle_CDM,core,dash_sch
LifeCycle,LifeCycle_CDM,core,death_child
LifeCycle,LifeCycle_CDM,core,death_m_age
LifeCycle,LifeCycle_CDM,core,death_p
LifeCycle,LifeCycle_CDM,core,death_p_age
LifeCycle,LifeCycle_CDM,core,dia_bf
LifeCycle,LifeCycle_CDM,core,dietage_psc
LifeCycle,LifeCycle_CDM,core,dietage_sch
LifeCycle,LifeCycle_CDM,core,dietass_pgn
LifeCycle,LifeCycle_CDM,core,dietass_psc
LifeCycle,LifeCycle_CDM,core,dietass_sch
LifeCycle,LifeCycle_CDM,core,dietga_pgn
LifeCycle,LifeCycle_CDM,core,distinvnear1_0
LifeCycle,LifeCycle_CDM,core,distinvnear1_preg
LifeCycle,LifeCycle_CDM,core,distinvnear1_t1
LifeCycle,LifeCycle_CDM,core,dogs_0
LifeCycle,LifeCycle_CDM,core,dogs_preg
LifeCycle,LifeCycle_CDM,core,dogs_quant_0
LifeCycle,LifeCycle_CDM,core,dogs_quant_preg
LifeCycle,LifeCycle_CDM,outcome,eczema_0
LifeCycle,LifeCycle_CDM,outcome,eczema_ever
LifeCycle,LifeCycle_CDM,outcome,eczema_m
LifeCycle,LifeCycle_CDM,core,famdinner_psc
LifeCycle,LifeCycle_CDM,core,cob_m
LifeCycle,LifeCycle_CDM,core,ed_m_0
LifeCycle,LifeCycle_CDM,core,edu_f1_0
LifeCycle,LifeCycle_CDM,core,edu_f1_fath0
LifeCycle,LifeCycle_CDM,core,edu_f2_0
LifeCycle,LifeCycle_CDM,core,edu_f2_fath0
LifeCycle,LifeCycle_CDM,core,ethn_p_fath
LifeCycle,LifeCycle_CDM,outcome,subscapsfmes_0
LifeCycle,LifeCycle_CDM,outcome,suprasf_0
LifeCycle,LifeCycle_CDM,outcome,suprasfage_0
LifeCycle,LifeCycle_CDM,core,edu_m_0
LifeCycle,LifeCycle_CDM,core,egg_pgn
LifeCycle,LifeCycle_CDM,core,egg_psc
LifeCycle,LifeCycle_CDM,core,height_age0
LifeCycle,LifeCycle_CDM,core,egg_sch
LifeCycle,LifeCycle_CDM,core,ethn1_m
LifeCycle,LifeCycle_CDM,core,ethn2_m
LifeCycle,LifeCycle_CDM,core,ethn2_p
LifeCycle,LifeCycle_CDM,outcome,gm_pc_0
LifeCycle,LifeCycle_CDM,core,ethn3_p
LifeCycle,LifeCycle_CDM,core,eusilc_income
LifeCycle,LifeCycle_CDM,outcome,suprasfmes_0
LifeCycle,LifeCycle_CDM,outcome,tricepsfage_0
LifeCycle,LifeCycle_CDM,core,eusilc_income_quintiles
LifeCycle,LifeCycle_CDM,outcome,fm_pro_0
LifeCycle,LifeCycle_CDM,outcome,ext_avg_0
LifeCycle,LifeCycle_CDM,outcome,ext_eval_0
LifeCycle,LifeCycle_CDM,outcome,ext_instr_0
LifeCycle,LifeCycle_CDM,outcome,ext_pc_0
LifeCycle,LifeCycle_CDM,outcome,ext_pro_0
LifeCycle,LifeCycle_CDM,outcome,ext_raw_0
LifeCycle,LifeCycle_CDM,core,famdinner_sch
LifeCycle,LifeCycle_CDM,core,famsize_adult0
LifeCycle,LifeCycle_CDM,core,famsize_child0
LifeCycle,LifeCycle_CDM,core,fam_splitup0
LifeCycle,LifeCycle_CDM,core,fastfood_psc
LifeCycle,LifeCycle_CDM,core,height_mes_f1
LifeCycle,LifeCycle_CDM,core,fastfood_sch
LifeCycle,LifeCycle_CDM,core,fdensity300_0
LifeCycle,LifeCycle_CDM,core,fdensity300_preg
LifeCycle,LifeCycle_CDM,outcome,FEF25_abs_0
LifeCycle,LifeCycle_CDM,core,fish_sch
LifeCycle,LifeCycle_CDM,core,grain_sch
LifeCycle,LifeCycle_CDM,outcome,FEF50_abs_0
LifeCycle,LifeCycle_CDM,outcome,FEF75_abs_0
LifeCycle,LifeCycle_CDM,outcome,FEF75_z_0
LifeCycle,LifeCycle_CDM,outcome,FEV1_abs_0
LifeCycle,LifeCycle_CDM,outcome,FEV1FVC_z_0
LifeCycle,LifeCycle_CDM,outcome,FEV1_z_0
LifeCycle,LifeCycle_CDM,core,ffish_pgn
LifeCycle,LifeCycle_CDM,core,ffish_psc
LifeCycle,LifeCycle_CDM,core,ffish_sch
LifeCycle,LifeCycle_CDM,outcome,fm_avg_0
LifeCycle,LifeCycle_CDM,outcome,fm_eval_0
LifeCycle,LifeCycle_CDM,outcome,fm_instr_0
LifeCycle,LifeCycle_CDM,outcome,fm_pc_0
LifeCycle,LifeCycle_CDM,outcome,fm_raw_0
LifeCycle,LifeCycle_CDM,core,folic_preg12
LifeCycle,LifeCycle_CDM,outcome,food_all_0
LifeCycle,LifeCycle_CDM,outcome,food_all_ever
LifeCycle,LifeCycle_CDM,core,food_all_sens_IgE_0
LifeCycle,LifeCycle_CDM,outcome,food_all_sens_SPT_0
LifeCycle,LifeCycle_CDM,outcome,food_all_sens_SPT_COWMILK_0
LifeCycle,LifeCycle_CDM,outcome,food_all_sens_SPT_EGG_0
LifeCycle,LifeCycle_CDM,core,na_pgn
LifeCycle,LifeCycle_CDM,outcome,food_all_sens_SPT_FISH_cod_0
LifeCycle,LifeCycle_CDM,outcome,food_all_sens_SPT_FISH_mix_0
LifeCycle,LifeCycle_CDM,outcome,food_all_sens_SPT_FRUIT_kiw_0
LifeCycle,LifeCycle_CDM,core,agebirth_m_y
LifeCycle,LifeCycle_CDM,core,agebirth_p_d
LifeCycle,LifeCycle_CDM,core,agebirth_p_fath
LifeCycle,LifeCycle_CDM,outcome,nvi_age_0
LifeCycle,LifeCycle_CDM,core,green_size_t1
LifeCycle,LifeCycle_CDM,outcome,food_all_sens_SPT_FRUIT_pea_0
LifeCycle,LifeCycle_CDM,outcome,food_all_sens_SPT_NUT_cas_0
LifeCycle,LifeCycle_CDM,outcome,food_all_sens_SPT_NUT_haz_0
LifeCycle,LifeCycle_CDM,outcome,food_all_sens_SPT_NUT_mix_0
LifeCycle,LifeCycle_CDM,outcome,food_all_sens_SPT_NUT_wal_0
LifeCycle,LifeCycle_CDM,outcome,food_all_sens_SPT_PNT_0
LifeCycle,LifeCycle_CDM,outcome,food_all_sens_SPT_SES_0
LifeCycle,LifeCycle_CDM,outcome,food_all_sens_SPT_SHELL_mix_0
LifeCycle,LifeCycle_CDM,outcome,food_all_sens_SPT_WHEAT_0
LifeCycle,LifeCycle_CDM,core,foodenvdens300_0
LifeCycle,LifeCycle_CDM,core,foodenvdens300_preg
LifeCycle,LifeCycle_CDM,core,grain_pgn
LifeCycle,LifeCycle_CDM,core,foodenvdensosm300_0
LifeCycle,LifeCycle_CDM,core,green_dist_0
LifeCycle,LifeCycle_CDM,core,foodenvdensosm300_preg
LifeCycle,LifeCycle_CDM,core,foodenvdensosm300_t1
LifeCycle,LifeCycle_CDM,core,frichness300_0
LifeCycle,LifeCycle_CDM,core,frichness300_preg
LifeCycle,LifeCycle_CDM,core,frichness300_t1
LifeCycle,LifeCycle_CDM,core,fruit_pgn
LifeCycle,LifeCycle_CDM,core,fruit_psc
LifeCycle,LifeCycle_CDM,core,fruit_sch
LifeCycle,LifeCycle_CDM,core,preg_alc
LifeCycle,LifeCycle_CDM,outcome,FVC_z_0
LifeCycle,LifeCycle_CDM,core,ga_bj
LifeCycle,LifeCycle_CDM,core,ga_lmp
LifeCycle,LifeCycle_CDM,core,ga_mr
LifeCycle,LifeCycle_CDM,outcome,gm_std_0
LifeCycle,LifeCycle_CDM,outcome,glucose_cord
LifeCycle,LifeCycle_CDM,core,grain_psc
LifeCycle,LifeCycle_CDM,core,green_dist_preg
LifeCycle,LifeCycle_CDM,core,green_dist_t1
LifeCycle,LifeCycle_CDM,core,green_size_0
LifeCycle,LifeCycle_CDM,core,green_size_preg
LifeCycle,LifeCycle_CDM,core,lfdairy_pgn
LifeCycle,LifeCycle_CDM,outcome,gm_age_0
LifeCycle,LifeCycle_CDM,core,greenyn300_0
LifeCycle,LifeCycle_CDM,outcome,gm_avg_0
LifeCycle,LifeCycle_CDM,core,greenyn300_preg
LifeCycle,LifeCycle_CDM,core,hmin_preg
LifeCycle,LifeCycle_CDM,core,greenyn300_t1
LifeCycle,LifeCycle_CDM,outcome,gm_eval_0
LifeCycle,LifeCycle_CDM,outcome,gm_instr_0
LifeCycle,LifeCycle_CDM,outcome,hba1c_cord
LifeCycle,LifeCycle_CDM,core,hdres_t1
LifeCycle,LifeCycle_CDM,outcome,hdlc_cord
LifeCycle,LifeCycle_CDM,core,height_0
LifeCycle,LifeCycle_CDM,core,hdres_0
LifeCycle,LifeCycle_CDM,core,hmin_1
LifeCycle,LifeCycle_CDM,outcome,insulin_cord
LifeCycle,LifeCycle_CDM,core,hmin_t1
LifeCycle,LifeCycle_CDM,outcome,int_age_0
LifeCycle,LifeCycle_CDM,core,hum_1
LifeCycle,LifeCycle_CDM,outcome,int_avg_0
LifeCycle,LifeCycle_CDM,core,hum_preg
LifeCycle,LifeCycle_CDM,core,height_f1
LifeCycle,LifeCycle_CDM,core,hum_t1
LifeCycle,LifeCycle_CDM,core,height_f1_fath
LifeCycle,LifeCycle_CDM,outcome,int_eval_0
LifeCycle,LifeCycle_CDM,core,height_m
LifeCycle,LifeCycle_CDM,outcome,int_pc_0
LifeCycle,LifeCycle_CDM,core,agebirth_p_y
LifeCycle,LifeCycle_CDM,core,agrgr_0
LifeCycle,LifeCycle_CDM,core,landuseshan300_0
LifeCycle,LifeCycle_CDM,outcome,inh_all_sens_SPT_DOG_0
LifeCycle,LifeCycle_CDM,outcome,lan_std_0
LifeCycle,LifeCycle_CDM,outcome,lan_instr_0
LifeCycle,LifeCycle_CDM,outcome,inh_all_sens_SPT_GRASS_mix_0
LifeCycle,LifeCycle_CDM,core,latepreg_weight
LifeCycle,LifeCycle_CDM,core,ndvi500_preg
LifeCycle,LifeCycle_CDM,core,landuseshan300_preg
LifeCycle,LifeCycle_CDM,core,hmax_t1
LifeCycle,LifeCycle_CDM,core,major_con_anomalies
LifeCycle,LifeCycle_CDM,core,latepreg_weight_ga
LifeCycle,LifeCycle_CDM,core,lfdairy_psc
LifeCycle,LifeCycle_CDM,core,landuseshan300_t1
LifeCycle,LifeCycle_CDM,core,lden_c_preg
LifeCycle,LifeCycle_CDM,core,latepreg_weight_mes
LifeCycle,LifeCycle_CDM,outcome,lan_eval_0
LifeCycle,LifeCycle_CDM,core,lst_t1
LifeCycle,LifeCycle_CDM,core,lden_c_t1
LifeCycle,LifeCycle_CDM,core,lfdairy_sch
LifeCycle,LifeCycle_CDM,core,ndvi100_preg
LifeCycle,LifeCycle_CDM,core,ln_c_preg
LifeCycle,LifeCycle_CDM,core,natgr_t1
LifeCycle,LifeCycle_CDM,core,perccarb_psc
LifeCycle,LifeCycle_CDM,core,height_mes_m
LifeCycle,LifeCycle_CDM,outcome,il6_cord
LifeCycle,LifeCycle_CDM,outcome,int_pro_0
LifeCycle,LifeCycle_CDM,core,hhincome_0
LifeCycle,LifeCycle_CDM,core,indtr_0
LifeCycle,LifeCycle_CDM,outcome,inh_all_sens_SPT_GRASS_tim_0
LifeCycle,LifeCycle_CDM,outcome,int_raw_0
LifeCycle,LifeCycle_CDM,outcome,inh_all_sens_SPT_HDM_derf_0
LifeCycle,LifeCycle_CDM,core,indtr_preg
LifeCycle,LifeCycle_CDM,core,ivf
LifeCycle,LifeCycle_CDM,core,indtr_t1
LifeCycle,LifeCycle_CDM,core,inhalant_all_sens_SPT_0
LifeCycle,LifeCycle_CDM,core,occup_f1_fath0
LifeCycle,LifeCycle_CDM,core,kcal_pgn
LifeCycle,LifeCycle_CDM,outcome,inh_all_0
LifeCycle,LifeCycle_CDM,outcome,inh_all_ever
LifeCycle,LifeCycle_CDM,core,kcal_sch
LifeCycle,LifeCycle_CDM,outcome,inh_all_sens_SPT_HDM_derp_0
LifeCycle,LifeCycle_CDM,core,inh_all_sens_IgE_0
LifeCycle,LifeCycle_CDM,outcome,inh_all_sens_SPT_HDM_mix_0
LifeCycle,LifeCycle_CDM,outcome,inh_all_sens_IgE_CAT_0
LifeCycle,LifeCycle_CDM,outcome,lan_age_0
LifeCycle,LifeCycle_CDM,outcome,inh_all_sens_IgE_HDM_0
LifeCycle,LifeCycle_CDM,outcome,inh_all_sens_SPT_TREE_birch_0
LifeCycle,LifeCycle_CDM,outcome,inh_all_sens_IgE_MOULD_0
LifeCycle,LifeCycle_CDM,outcome,inh_all_sens_SPT_TREE_mix_0
LifeCycle,LifeCycle_CDM,outcome,inh_all_sens_IgE_RYE_0
LifeCycle,LifeCycle_CDM,core,hmax_1
LifeCycle,LifeCycle_CDM,outcome,lan_raw_0
LifeCycle,LifeCycle_CDM,core,hmax_preg
LifeCycle,LifeCycle_CDM,outcome,inh_all_sens_SPT_CAT_0
LifeCycle,LifeCycle_CDM,core,lden_c_0
LifeCycle,LifeCycle_CDM,outcome,lan_pc_0
LifeCycle,LifeCycle_CDM,core,meat_pgn
LifeCycle,LifeCycle_CDM,core,ldres_t1
LifeCycle,LifeCycle_CDM,core,meat_psc
LifeCycle,LifeCycle_CDM,core,na_psc
LifeCycle,LifeCycle_CDM,core,mainmeal_psc
LifeCycle,LifeCycle_CDM,core,ln_preg
LifeCycle,LifeCycle_CDM,core,meat_sch
LifeCycle,LifeCycle_CDM,core,ln_1
LifeCycle,LifeCycle_CDM,core,lden_preg
LifeCycle,LifeCycle_CDM,core,lden_t1
LifeCycle,LifeCycle_CDM,core,mainmeal_sch
LifeCycle,LifeCycle_CDM,core,mental_exp0
LifeCycle,LifeCycle_CDM,outcome,leptin_cord
LifeCycle,LifeCycle_CDM,core,ln_c_1
LifeCycle,LifeCycle_CDM,core,natgr_0
LifeCycle,LifeCycle_CDM,core,natgr_preg
LifeCycle,LifeCycle_CDM,core,ln_t1
LifeCycle,LifeCycle_CDM,core,mdist_1
LifeCycle,LifeCycle_CDM,core,recruit_age
LifeCycle,LifeCycle_CDM,core,nox_preg
LifeCycle,LifeCycle_CDM,core,ndvi100_t1
LifeCycle,LifeCycle_CDM,core,ndvi300_0
LifeCycle,LifeCycle_CDM,core,ndvi100_0
LifeCycle,LifeCycle_CDM,core,ndvi300_preg
LifeCycle,LifeCycle_CDM,core,noise_dist_t1
LifeCycle,LifeCycle_CDM,core,ndvi300_t1
LifeCycle,LifeCycle_CDM,outcome,LRTI_0
LifeCycle,LifeCycle_CDM,outcome,ldlc_cord
LifeCycle,LifeCycle_CDM,core,ldres_0
LifeCycle,LifeCycle_CDM,outcome,nvi_raw_0
LifeCycle,LifeCycle_CDM,core,mdist_preg
LifeCycle,LifeCycle_CDM,core,ndvi500_0
LifeCycle,LifeCycle_CDM,core,lst_1
LifeCycle,LifeCycle_CDM,core,nox_1
LifeCycle,LifeCycle_CDM,core,ln_c_t1
LifeCycle,LifeCycle_CDM,core,mode_delivery
LifeCycle,LifeCycle_CDM,core,mdist_t1
LongITools,LifeCycle_CDM,core,agebirth_m_y
LongITools,LifeCycle_CDM,core,agebirth_p_fath
LongITools,LifeCycle_CDM,core,agebirth_p_y
LongITools,LongITools_CDM,wave_01,alc
LongITools,LifeCycle_CDM,core,alc_t1
LongITools,LongITools_CDM,wave_01,alc_unit
LongITools,LongITools_CDM,wave_01,ap_age
LongITools,LongITools_CDM,wave_01,ap_bmi
LongITools,LongITools_CDM,wave_01,ar_age
LongITools,LongITools_CDM,wave_01,ar_bmi
LongITools,LifeCycle_CDM,core,birth_length
LongITools,LifeCycle_CDM,core,birth_month
LongITools,LifeCycle_CDM,core,birth_weight
LongITools,LifeCycle_CDM,core,birth_year
LongITools,LifeCycle_CDM,core,breastfed_any
LongITools,LifeCycle_CDM,core,breastfed_ever
LongITools,LifeCycle_CDM,core,breastfed_excl
LongITools,LongITools_CDM,wave_01,car_plaques
LifeCycle,LifeCycle_CDM,core,ndvi500_t1
LongITools,LifeCycle_CDM,outcome,cfpwv_0
LongITools,LongITools_CDM,wave_01,chd_acs
LongITools,LongITools_CDM,wave_01,chd_ap
LongITools,LongITools_CDM,wave_01,chd_broad
LongITools,LongITools_CDM,wave_01,chd_cabg
LongITools,LongITools_CDM,wave_01,chd_hard
LongITools,LongITools_CDM,wave_01,chd_mi
LongITools,LongITools_CDM,wave_01,chd_revasc
LongITools,LongITools_CDM,wave_01,chd_si
LongITools,LifeCycle_CDM,core,child_no
LongITools,LifeCycle_CDM,core,childcare_0
LongITools,LifeCycle_CDM,core,childcare_intro
LongITools,LifeCycle_CDM,core,childcarecentre_0
LongITools,LifeCycle_CDM,core,childcareprof_0
LongITools,LifeCycle_CDM,core,childcarerel_0
LongITools,LifeCycle_CDM,outcome,chol_0
LongITools,LifeCycle_CDM,outcome,chol_cord
LongITools,LifeCycle_CDM,outcome,cimt_0
LongITools,LongITools_CDM,wave_01,cimtmeanmax
LongITools,LongITools_CDM,wave_01,cob
LongITools,LifeCycle_CDM,core,cob_m
LongITools,LifeCycle_CDM,core,cob_p
LongITools,LifeCycle_CDM,core,cob_p_fath
LongITools,LifeCycle_CDM,core,cohab_0
LongITools,LifeCycle_CDM,outcome,crp_0
LongITools,LifeCycle_CDM,outcome,crp_cord
LongITools,LifeCycle_CDM,outcome,crpwv_0
LongITools,LifeCycle_CDM,outcome,dbp_0
LongITools,LifeCycle_CDM,outcome,dbpav_0
LongITools,LongITools_CDM,wave_01,death
LongITools,LongITools_CDM,wave_01,death_cause
LongITools,LongITools_CDM,wave_01,diab_t2_icd
LongITools,LongITools_CDM,wave_01,diab_t2_sr
LongITools,LongITools_CDM,wave_01,diet_fish
LongITools,LongITools_CDM,wave_01,diet_fruit
LongITools,LongITools_CDM,wave_01,diet_kcal
LongITools,LongITools_CDM,wave_01,diet_na
LongITools,LongITools_CDM,wave_01,diet_swebev
LongITools,LongITools_CDM,wave_01,diet_veg
LongITools,LongITools_CDM,wave_01,drugs_a
LongITools,LongITools_CDM,wave_01,drugs_b
LongITools,LongITools_CDM,wave_01,drugs_c
LongITools,LongITools_CDM,wave_01,drugs_d
LongITools,LongITools_CDM,wave_01,drugs_g
LongITools,LongITools_CDM,wave_01,drugs_h
LongITools,LongITools_CDM,wave_01,drugs_j
LongITools,LongITools_CDM,wave_01,drugs_l
LongITools,LongITools_CDM,wave_01,drugs_m
LongITools,LongITools_CDM,wave_01,drugs_n
LongITools,LongITools_CDM,wave_01,drugs_p
LongITools,LongITools_CDM,wave_01,drugs_r
LongITools,LongITools_CDM,wave_01,drugs_range
LongITools,LongITools_CDM,wave_01,drugs_s
LongITools,LongITools_CDM,wave_01,drugs_v
LongITools,LongITools_CDM,wave_01,edu
LongITools,LifeCycle_CDM,core,edu_f1_0
LongITools,LifeCycle_CDM,core,edu_f1_fath0
LongITools,LifeCycle_CDM,core,edu_m_0
LongITools,LifeCycle_CDM,core,ethn_p_fath
LongITools,LongITools_CDM,wave_01,ethn1
LongITools,LifeCycle_CDM,core,ethn1_m
LongITools,LifeCycle_CDM,core,ethn1_p
LongITools,LongITools_CDM,wave_01,ethn2
LongITools,LifeCycle_CDM,core,ethn2_m
LongITools,LifeCycle_CDM,core,ethn2_p
LongITools,LongITools_CDM,wave_01,ethn3
LongITools,LifeCycle_CDM,core,ethn3_m
LongITools,LifeCycle_CDM,core,ethn3_p
LongITools,LongITools_CDM,wave_01,famsize_adult_own
LongITools,LongITools_CDM,wave_01,famsize_child_own
LongITools,LifeCycle_CDM,core,ga_bj
LongITools,LifeCycle_CDM,core,ga_lmp
LongITools,LifeCycle_CDM,core,ga_mr
LongITools,LifeCycle_CDM,core,ga_us
LongITools,LifeCycle_CDM,outcome,glucose_0
LongITools,LifeCycle_CDM,outcome,glucose_cord
LongITools,LifeCycle_CDM,outcome,hba1c_0
LongITools,LifeCycle_CDM,outcome,hba1c_cord
LongITools,LifeCycle_CDM,outcome,hdlc_0
LongITools,LifeCycle_CDM,outcome,hdlc_cord
LongITools,LifeCycle_CDM,core,height_0
LongITools,LifeCycle_CDM,core,height_f1
LongITools,LifeCycle_CDM,core,height_f1_fath
LongITools,LifeCycle_CDM,core,height_m
LongITools,LifeCycle_CDM,core,hhincome_0
LongITools,LongITools_CDM,wave_01,hhincome_own
LongITools,LifeCycle_CDM,outcome,hipcirc_0
LongITools,LongITools_CDM,wave_01,hosp
LongITools,LongITools_CDM,wave_01,hosp_n
LongITools,LongITools_CDM,wave_01,hosp_n_range
LongITools,LongITools_CDM,wave_01,hosp_nights
LongITools,LongITools_CDM,wave_01,hosp_range
LongITools,LongITools_CDM,wave_01,hypertension
LongITools,LongITools_CDM,wave_01,hypertension_med
LongITools,LifeCycle_CDM,core,child_id
LongITools,LifeCycle_CDM,outcome,il6_0
LongITools,LifeCycle_CDM,outcome,il6_cord
LongITools,LifeCycle_CDM,outcome,insulin_0
LongITools,LifeCycle_CDM,outcome,insulin_cord
LongITools,LifeCycle_CDM,core,latepreg_weight
LongITools,LifeCycle_CDM,core,latepreg_weight_ga
LongITools,LifeCycle_CDM,outcome,ldlc_0
LongITools,LifeCycle_CDM,outcome,ldlc_cord
