order,name,label,tags,parent,codesystem,code,ontologyTermURI,definition,city,country,latitude,longitude,organisationType,image,image_filename,hasSchema,schemaName
,ASL Tuscan Centre,Azienda Usl Toscana Centro,,,ROR,05a87zb20,https://ror.org/05a87zb20,,Pistoia,Italy,43.9350518,10.9183529,,,,,
,AOU - Bologna,Azienda USL di Bologna,,,ROR,02mby1820,https://ror.org/02mby1820,,Bologna,Italy,44.48979,11.348087,,,,,
,AO City of Health and Science - Turin,Azienda Ospedaliera Citta' della Salute e della Scienza di Torino,,,ROR,001f7a930,https://ror.org/001f7a930,,Turin,Italy,45.041268,7.672926,,,,,
,Foundation IRCCS CA'Granda Ospedale Maggiore polyclinic - Milan,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,,,ROR,016zn0y21,https://ror.org/016zn0y21,,Milan,Italy,45.46427,9.18951,,,,,
,AOU Meyer - Florence,Meyer Children's Hospital,,,ROR,01n2xwm51,https://ror.org/01n2xwm51,,Florence,Italy,43.810527,11.252438,,,,,
,"Pediatric hospital Bambino Gesù, Rome",Bambino Gesù Children's Hospital,,,ROR,02sy42d13,https://ror.org/02sy42d13,,Rome,Italy,41.897466,12.461168,,,,,
,Foundation IRCCS-Casa Sollievo della Sofferenza,Casa Sollievo della Sofferenza,,,ROR,00md77g41,https://ror.org/00md77g41,,San Giovanni Rotondo,Italy,41.708831,15.706202,,,,,
,IRCCS IDI foundation Luigi Maria Monti - Rome,Istituto Dermopatico dell'Immacolata,,,ROR,02b5mfy68,https://ror.org/02b5mfy68,,Rome,Italy,41.901642,12.430741,,,,,
,AOU - Modena,University of Modena and Reggio Emilia,,,ROR,02d4c4y02,https://ror.org/02d4c4y02,,Modena,Italy,44.64783,10.92539,,,,,
,University Hospital of Padova,Azienda Ospedaliera di Padova,,,ROR,04bhk6583,https://ror.org/04bhk6583,,Padova,Italy,45.404314,11.887474,,,,,
,"Children's Clinical University Hospital, Riga",,,,ROR,01js8h045,https://ror.org/01js8h045,,Riga,Latvia,56.921972,24.088044,,,,,
,Hospital of Lithuanian University of Health Sciences Kauno Klinikos,Lithuanian University of Health Sciences,,,ROR,0069bkg23,https://ror.org/0069bkg23,,Kaunas,Lithuania,54.90272,23.90961,,,,,
,Centre Hospitalier de Luxembourg,,,,ROR,03xq7w797,https://ror.org/03xq7w797,,Luxembourg,Luxembourg,49.61902,6.100791,,,,,
,Mater Dei Hospital,,,,ROR,05a01hn31,https://ror.org/05a01hn31,,Imsida,Malta,35.901828,14.476744,,,,,
,University Medical Center Utrecht,,,,ROR,0575yy874,https://ror.org/0575yy874,,Utrecht,Netherlands,52.09083,5.12222,,,,,
,Maastricht University Medical Center+,,,,ROR,02d9ce178,https://ror.org/02d9ce178,,Maastricht,Netherlands,50.84833,5.68889,,,,,
,University Medical Centre Groningen,,,,ROR,03cv38k47,https://ror.org/03cv38k47,,Groningen,Netherlands,53.222794,6.574039,,,,,
,Erasmus MC: University Medical Center Rotterdam,Erasmus MC,,,ROR,"1,8906E+26",https://ror.org/018906e22,,Rotterdam,Netherlands,51.9225,4.47917,,,,,
,Amsterdam University Medical Centers Location AMC,Amsterdam University Medical Centers,,,ROR,05grdyy37,https://ror.org/05grdyy37,,Amsterdam,Netherlands,52.37403,4.88969,,,,,
,Colentina Clinical Hospital,Spitalul Clinic Colentina,,,ROR,04fkbqt11,https://ror.org/04fkbqt11,,Bucharest,Romania,44.453796,26.113551,,,,,
,University Medical Centre Ljubljana,Ljubljana University Medical Centre,,,ROR,01nr6fy72,https://ror.org/01nr6fy72,,Ljubljana,Slovenia,46.053689,14.521233,,,,,
,Sant Joan de Déu Hospital,Hospital Sant Joan de Déu Barcelona,,,ROR,001jx2139,https://ror.org/001jx2139,,Barcelona,Spain,41.38424,2.102141,,,,,
,Uppsala University Hospital,,,,ROR,01apvbh93,https://ror.org/01apvbh93,,Uppsala,Sweden,59.847222,17.640278,,,,,
,University Hospital Center Zagreb,,,,ROR,00r9vb833,https://ror.org/00r9vb833,,Zagreb,Croatia,4581444.0,1597798.0,,,,,
