,id,name,acronym,description,url,location,country,latitude,longitude,head,contact,national_node,withdrawn,parent_collection,sub_collections,biobank,biobank_label,network,also_known,studies,type,data_categories,order_of_magnitude,size,categories,timestamp,quality,combined_quality,number_of_donors,order_of_magnitude_donors,sex,diagnosis_available,age_low,age_high,age_unit,facts,materials,storage_temperatures,body_part_examined,imaging_modality,image_dataset_type,collaboration_commercial,collaboration_non_for_profit,data_use,duc_profile,commercial_use,access_fee,access_joint_project,access_description,access_uri,sop,catalog,license,publisher,language,keywords,EJP_RD_personalData,EJP_RD_vpConnection,issued,modified,mg_draft
540,bbmri-eric:ID:ES_BBSSPA:collection:CCA-00029,Psoriatic arthritis DNA,,DNA samples obtained from patients with Psoriatic arthritis,https://www.juntadeandalucia.es/salud/biobanco/es,Andalusia,ES,,,bbmri-eric:contactID:ES_Aguilar-Quesada,bbmri-eric:contactID:ES_Aguilar-Quesada,ES,False,,,bbmri-eric:ID:ES_BBSSPA,Andalusian Public Health System Biobank,bbmri-eric:networkID:ES_PISCIIIBB,,,SAMPLE,BIOLOGICAL_SAMPLES,2,661.0,,2026-06-02 00:00:00.000,,accredited,658.0,2.0,"FEMALE,MALE",urn:miriam:icd:L40.5,18.0,85.0,YEAR,,DNA,temperature-60to-85,,,,True,True,,,True,,,,,"sample_storage_sop,sample_processing_sop",directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Arthropathic psoriasis,,,2026-07-23 05:02:05.616822,2026-07-23 05:02:05.616822,
543,bbmri-eric:ID:ES_BBSSPA:collection:CCA-00015,Neumo COVID,,Strategic specimen collection in patients three months after SARS-CoV-2 infection,https://www.juntadeandalucia.es/salud/biobanco/es,Andalusia,ES,,,bbmri-eric:contactID:ES_Aguilar-Quesada,bbmri-eric:contactID:ES_Aguilar-Quesada,ES,False,,,bbmri-eric:ID:ES_BBSSPA,Andalusian Public Health System Biobank,bbmri-eric:networkID:ES_PISCIIIBB,,,SAMPLE,"BIOLOGICAL_SAMPLES,MEDICAL_RECORDS,DiseaseDuration",2,914.0,"infectious,paediatrics,covid19",2026-06-02 00:00:00.000,,accredited,58.0,1.0,"FEMALE,MALE",urn:miriam:icd:U09.9,17.0,84.0,YEAR,,"PLASMA,SERUM,WHOLE_BLOOD,BUFFY_COAT,OTHER",temperature-60to-85,,,,True,True,,,True,,,,,"sample_processing_sop,sample_transport_sop,sample_storage_sop",directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,"Post COVID-19 condition - Post COVID-19 condition,unspecified",,,2026-07-23 05:02:05.616822,2026-07-23 05:02:05.616822,
563,bbmri-eric:ID:ES_BioNER-IIER:collection:Enfermedad_de_Cushing_dependiente_de_la_hipofisis,Enfermedad de Cushing dependiente de la hipófisis,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,0,5.0,"rare_disease,metabolic",,,,1.0,0.0,FEMALE,urn:miriam:icd:E24.0,,,YEAR,,"DNA,SALIVA",temperature-60to-85,,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Pituitary-dependent Cushing disease,,,2026-07-23 05:02:05.616822,2026-07-23 05:02:05.616822,
594,bbmri-eric:ID:ES_BioNER-IIER:collection:Cefalea_en_racimos,Cefalea en racimos,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,0,5.0,"nervous_system,rare_disease",,,,1.0,0.0,MALE,urn:miriam:icd:G44.0,,,YEAR,,"DNA,SALIVA",temperature-60to-85,,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Cluster headache syndrome,,,2026-07-23 05:02:05.616822,2026-07-23 05:02:05.616822,
638,bbmri-eric:ID:ES_BBSSPA:collection:CCA-00019,Pediatric oncology and hematology,,Pediatric oncology and hematology diseases,https://www.juntadeandalucia.es/salud/biobanco/es,Andalusia,ES,,,bbmri-eric:contactID:ES_Aguilar-Quesada,bbmri-eric:contactID:ES_Aguilar-Quesada,ES,False,,,bbmri-eric:ID:ES_BBSSPA,Andalusian Public Health System Biobank,bbmri-eric:networkID:ES_PISCIIIBB,,,SAMPLE,BIOLOGICAL_SAMPLES,2,343.0,"oncology,paediatrics",2026-06-02 00:00:00.000,,accredited,19.0,1.0,"FEMALE,MALE",urn:miriam:icd:C00,6.0,185.0,MONTH,,"PLASMA,SERUM,URINE,TISSUE_FROZEN",temperature-60to-85,,,,True,True,,,True,,,,,sample_storage_sop,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Malignant neoplasm of lip,,,2026-07-23 05:02:05.616822,2026-07-23 05:02:05.616822,
640,bbmri-eric:ID:ES_IDIBAPS:collection:COV,COV,COV,Samples from patients diagnosed with Covid-19.,https://www.clinicbarcelona.org/en/idibaps/core-facilities/biobank,Barcelona,ES,,,bbmri-eric:contactID:ES_Campo_Guerri,bbmri-eric:contactID:ES_Campo_Guerri,ES,False,,,bbmri-eric:ID:ES_IDIBAPS,"Biobank of Hospital Clínic-August Pi i Sunyer Biomedical Research Centre (HCB-IDIBAPS Biobank), Clinic Barcelona Research Foundation-IDIBAPS (FRCB-IDIBAPS)",bbmri-eric:networkID:ES_PISCIIIBB,,,"SAMPLE,BIRTH_COHORT,DISEASE_SPECIFIC,HOSPITAL,PROSPECTIVE_COLLECTION","ANTIBODIES,BIOLOGICAL_SAMPLES,CLINICAL_SYMPTOMS,DiseaseDuration,MEDICAL_RECORDS,TREATMENT_PROTOCOL",4,50892.0,"infectious,paediatrics,covid19",2023-02-10 00:00:00.000,,accredited,3389.0,3.0,"FEMALE,MALE,NAV",urn:miriam:icd:U07.1,0.0,105.0,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM,SALIVA,URINE,WHOLE_BLOOD,TISSUE_FROZEN,OTHER,TISSUE_PARAFFIN_EMBEDDED,OTHER","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,"Emergency use of U07 - COVID-19,virus identified",,,2026-07-23 05:02:05.301546,2026-07-23 05:02:05.301546,
659,bbmri-eric:ID:ES_BBSSPA:collection:CCA-00002,Andalusian Population-Based Controls,AP-BC,Samples from subjects representatives of the Andalusian population,https://www.juntadeandalucia.es/salud/biobanco/es,Andalusia,ES,,,bbmri-eric:contactID:ES_Aguilar-Quesada,bbmri-eric:contactID:ES_Aguilar-Quesada,ES,False,,,bbmri-eric:ID:ES_BBSSPA,Andalusian Public Health System Biobank,bbmri-eric:networkID:ES_PISCIIIBB,,,POPULATION_BASED,SURVEY_DATA,3,2522.0,population,2026-06-02 00:00:00.000,,accredited,37.0,1.0,"FEMALE,MALE",urn:miriam:icd:Z00.8,27.0,77.0,YEAR,,"FECES,URINE,PLASMA,WHOLE_BLOOD,SERUM,OTHER","temperature-60to-85,temperatureRoom",,,,True,True,,,True,,,,,"sample_processing_sop,sample_storage_sop",directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Other general examinations,,,2026-07-23 05:02:05.301546,2026-07-23 05:02:05.301546,
660,bbmri-eric:ID:ES_BioNER-IIER:collection:Ataxia_espinocerebelosa_con_intrusiones_sacadicas_SCASI_SCAR4_VPS13D,"Ataxia espinocerebelosa con intrusiones sacádicas (SCASI; SCAR4), VPS13D",,Disease sample;Disease control,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,65.0,"nervous_system,rare_disease",,,,4.0,0.0,"MALE,FEMALE",urn:miriam:icd:G11.2,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,OTHER,BUFFY_COAT,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Late-onset cerebellar ataxia,,,2026-07-23 05:02:06.175575,2026-07-23 05:02:06.175575,
672,bbmri-eric:ID:ES_BBSSPA:collection:CCA-00023,Amyotrophic Lateral Sclerosis Brain Tissues,ALS-TIS,Tissue samples obtained from brain autopsies of patients with Amyotrophic Lateral Sclerosis disease,https://www.juntadeandalucia.es/salud/biobanco/es,Andalusia,ES,,,bbmri-eric:contactID:ES_Aguilar-Quesada,bbmri-eric:contactID:ES_Aguilar-Quesada,ES,False,,,bbmri-eric:ID:ES_BBSSPA,Andalusian Public Health System Biobank,bbmri-eric:networkID:ES_PISCIIIBB,,,SAMPLE,BIOLOGICAL_SAMPLES,1,40.0,"nervous_system,rare_disease",2026-06-02 00:00:00.000,,accredited,2.0,0.0,"FEMALE,MALE",urn:miriam:icd:G12.2,42.0,70.0,YEAR,,"OTHER,TISSUE_FROZEN",temperature-60to-85,,,,True,True,,,True,,,,,sample_storage_sop,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Spinal muscular atrophy and related syndromes - Motor neuron disease,,,2026-07-23 05:02:05.616822,2026-07-23 05:02:05.616822,
673,bbmri-eric:ID:ES_BioNER-IIER:collection:Lupus_eritematoso_discoide,Lupus eritematoso discoide,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,15.0,rare_disease,,,,1.0,0.0,MALE,urn:miriam:icd:L93.0,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Discoid lupus erythematosus,,,2026-07-23 05:02:05.920194,2026-07-23 05:02:05.920194,
676,bbmri-eric:ID:ES_BioNER-IIER:collection:Ictiosis_lamelar,Ictiosis lamelar,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,2,201.0,rare_disease,,,,10.0,1.0,"MALE,FEMALE",urn:miriam:icd:Q80.2,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Lamellar ichthyosis,,,2026-07-23 05:02:05.920194,2026-07-23 05:02:05.920194,
701,bbmri-eric:ID:ES_BioNER-IIER:collection:Inmunodeficiencia_variable_comun_no_especificada,"Inmunodeficiencia variable común, no especificada",,Disease sample;Disease control,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,1,49.0,"autoimmune,rare_disease",,,,3.0,0.0,"MALE,FEMALE",urn:miriam:icd:D83.9,,,YEAR,,"DNA,PERIPHERAL_BLOOD_CELLS,PLASMA,SERUM","temperature-60to-85,temperatureLN",,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,"Common variable immunodeficiency,unspecified",,,2026-07-23 05:02:05.920194,2026-07-23 05:02:05.920194,
710,bbmri-eric:ID:ES_BBSSPA:collection:CCA-00030,"Rheumatoid arthritis, Ankylosing spondylitis and psoriatic arthitis control DNA",,"DNA samples obtained from patients without Rheumatoid arthritis, Ankylosing spondylitis or psoriatic arthritis",https://www.juntadeandalucia.es/salud/biobanco/es,Andalusia,ES,,,bbmri-eric:contactID:ES_Aguilar-Quesada,bbmri-eric:contactID:ES_Aguilar-Quesada,ES,False,,,bbmri-eric:ID:ES_BBSSPA,Andalusian Public Health System Biobank,bbmri-eric:networkID:ES_PISCIIIBB,,,SAMPLE,BIOLOGICAL_SAMPLES,2,581.0,"autoimmune,paediatrics",2026-06-02 00:00:00.000,,accredited,581.0,2.0,"FEMALE,MALE","urn:miriam:icd:M06.9,urn:miriam:icd:M45,urn:miriam:icd:L40.5",17.0,84.0,YEAR,,DNA,temperature-60to-85,,,,True,True,,,True,,,,,"sample_storage_sop,sample_processing_sop",directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,"Rheumatoid arthritis,unspecified,Ankylosing spondylitis,Arthropathic psoriasis",,,2026-07-23 05:02:05.616822,2026-07-23 05:02:05.616822,
719,bbmri-eric:ID:ES_BBSSPA:collection:CCA-00021,Alzheimer's Brain Tissues,,Tissue samples obtained from brain autopsies of patients with Alzheimer's disease,https://www.juntadeandalucia.es/salud/biobanco/es,Andalusia,ES,,,bbmri-eric:contactID:ES_Aguilar-Quesada,bbmri-eric:contactID:ES_Aguilar-Quesada,ES,False,,,bbmri-eric:ID:ES_BBSSPA,Andalusian Public Health System Biobank,bbmri-eric:networkID:ES_PISCIIIBB,,,SAMPLE,BIOLOGICAL_SAMPLES,2,504.0,nervous_system,2026-06-02 00:00:00.000,,accredited,9.0,0.0,"FEMALE,MALE",urn:miriam:icd:G30,59.0,85.0,YEAR,,"OTHER,TISSUE_FROZEN,TISSUE_PARAFFIN_EMBEDDED,OTHER","temperature-60to-85,temperatureRoom",,,,True,True,,,True,,,,,sample_storage_sop,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Alzheimer disease,,,2026-07-23 05:02:05.616822,2026-07-23 05:02:05.616822,
724,bbmri-eric:ID:ES_BioNER-IIER:collection:Long_QT_syndrome_Deafness,Long QT syndrome. Deafness,,Disease sample,https://www.isciii.es/QuienesSomos/CentrosPropios/IIER/Paginas/default.aspx,Madrid,ES,,,bbmri-eric:contactID:ES_Martinez_Delgado,bbmri-eric:contactID:ES_Martinez_Delgado,ES,False,,,bbmri-eric:ID:ES_BioNER-IIER,Rare Diseases National Biobank-Institute of Rare Diseases Research (Institute of Health Carlos III),bbmri-eric:networkID:ES_PISCIIIBB,,,RD,BIOLOGICAL_SAMPLES,0,3.0,"cardiovascular,rare_disease",,,,1.0,0.0,FEMALE,urn:miriam:icd:I45.8,,,YEAR,,DNA,temperature-60to-85,,,,,,,,True,,,,,,directory_catalog,https://ejp-rd-vp.github.io/resource-metadata-schema/license/v1.0.txt,BBMRI-ERIC,English,Other specified conduction disorders,,,2026-07-23 05:02:05.920194,2026-07-23 05:02:05.920194,
