name,parent,codesystem,code,ontologyTermURI,definition
co-dominant X-linked inheritance,X-linked dominant inheritance,geno,GENO_0000939,http://purl.obolibrary.org/obo/GENO_0000939,An X-linked dominant inheritance pattern wherein a heterozygous individual simultaneously expresses the distinct traits associated with each allele in the heterozygous locus.
incomplete X-linked dominant inheritance,X-linked dominant inheritance,geno,GENO_0000938,http://purl.obolibrary.org/obo/GENO_0000938,An X-linked dominant inheritance pattern wherein the trait expressed in a heterozygous individual is intermediate between the trait expressed in individuals homozygous for either allele in the heterozygous locus.
complete X-linked dominant inheritance,X-linked dominant inheritance,geno,GENO_0000937,http://purl.obolibrary.org/obo/GENO_0000937,An X-linked dominant inheritance pattern wherein the trait associated with one allele completely masks the trait associated with a different allele found at that locus.
autosomal inheritance,monogenic inheritance,geno,GENO_0000934,http://purl.obolibrary.org/obo/GENO_0000934,An inheritance pattern wherein the trait is determined by alleles of a single causal gene on a non-sex chromosome.
autosomal recessive inheritance,autosomal inheritance,geno,GENO_0000148,http://purl.obolibrary.org/obo/GENO_0000148,An inheritance pattern wherein a trait caused by alleles of an autosomal gene manifests in homozygous but not heterozygote individuals.
sex-limited autosomal recessive inheritance,autosomal recessive inheritance,geno,GENO_0000953,http://purl.obolibrary.org/obo/GENO_0000953,"An autosomal recessive inheritance pattern wherein the trait manifests only in homozygotes, and in a sex-specific manner (i.e. only in males or only in females)."
autosomal dominant inheritance,autosomal inheritance,geno,GENO_0000147,http://purl.obolibrary.org/obo/GENO_0000147,An inheritance pattern wherein a trait caused by alleles of an autosomal gene manifests in heterozygotes.
sex-limited autosomal dominant inheritance,autosomal dominant inheritance,geno,GENO_0000952,http://purl.obolibrary.org/obo/GENO_0000952,An autosomal dominant inheritance pattern wherein the trait manifests in heterozygotes in a sex-specific manner (i.e. only in males or only in females).
incomplete autosomal dominant inheritance,autosomal dominant inheritance,geno,GENO_0000145,http://purl.obolibrary.org/obo/GENO_0000145,An autosomal dominant inheritance pattern wherein the trait expressed in a heterozygous individual is intermediate between the trait expressed in individuals homozygous for either allele in the heterozygous locus.
complete autosomal dominant inheritance,autosomal dominant inheritance,geno,GENO_0000144,http://purl.obolibrary.org/obo/GENO_0000144,An autosomal dominant inheritance pattern wherein the trait associated with one allele completely masks the trait associated with a different allele found at that locus.
co-dominant autosomal inheritance,autosomal dominant inheritance,geno,GENO_0000143,http://purl.obolibrary.org/obo/GENO_0000143,An autosomal dominant inheritance pattern wherein a heterozygous individual simultaneously expresses the distinct traits associated with each allele in the heterozygous locus.
multifactorial inheritance,,geno,GENO_0000929,http://purl.obolibrary.org/obo/GENO_0000929,"An inheritance pattern that depends on a mixture of major and minor genetic determinants (i.e. alleles of more than one contributing genes), possibly together with environmental factors.; Diseases inherited in this manner are termed 'complex diseases'."
polygenic inheritance,multifactorial inheritance,geno,GENO_0000932,http://purl.obolibrary.org/obo/GENO_0000932,A multifactorial inheritance pattern that is determined by the simultaneous action of alleles a large number of genes.; Typically used for traits/conditions governed by more than three gene loci.
oligogenic inheritance,multifactorial inheritance,geno,GENO_0000931,http://purl.obolibrary.org/obo/GENO_0000931,"A multifactorial inheritance pattern that is determined by the simultaneous action of alleles in few genes.; It is recommended this term be used for traits governed by three gene loci, although it is noted that usage of this term in the literature is not uniform."
digenic inheritance,multifactorial inheritance,geno,GENO_0000930,http://purl.obolibrary.org/obo/GENO_0000930,A multifactorial inheritance pattern that is determined by the simultaneous action of alleles in two genes.
undetermined inheritance,,geno,GENO_0000889,http://purl.obolibrary.org/obo/GENO_0000889,An inheritance pattern that is not determined or not known.
