name,codesystem,code,ontologyTermURI
Cardiopulmonary circulatory system structure,SNOMED CT,480000,http://purl.bioontology.org/ontology/SNOMEDCT/480000
Transverse colon structure,SNOMED CT,485005,http://purl.bioontology.org/ontology/SNOMEDCT/485005
Structure of costal surface of lung,SNOMED CT,528006,http://purl.bioontology.org/ontology/SNOMEDCT/528006
Caudal frontal sinus,SNOMED CT,532000,http://purl.bioontology.org/ontology/SNOMEDCT/532000
Entire vagus nerve parasympathetic fibers to cardiac plexus,SNOMED CT,552004,http://purl.bioontology.org/ontology/SNOMEDCT/552004
Structure of intervertebral disc space of fifth lumbar vertebra,SNOMED CT,565008,http://purl.bioontology.org/ontology/SNOMEDCT/565008
Structure of head of phalanx of great toe,SNOMED CT,582005,http://purl.bioontology.org/ontology/SNOMEDCT/582005
Structure of capsule of proximal interphalangeal joint of third toe,SNOMED CT,587004,http://purl.bioontology.org/ontology/SNOMEDCT/587004
Interventricular septum structure,SNOMED CT,589001,http://purl.bioontology.org/ontology/SNOMEDCT/589001
Structure of palpebral fissure,SNOMED CT,595000,http://purl.bioontology.org/ontology/SNOMEDCT/595000
Subcutaneous tissue structure of philtrum,SNOMED CT,608002,http://purl.bioontology.org/ontology/SNOMEDCT/608002
Shaft of thirteenth rib,SNOMED CT,630001,http://purl.bioontology.org/ontology/SNOMEDCT/630001
Structure of tuberosity of distal phalanx of little toe,SNOMED CT,635006,http://purl.bioontology.org/ontology/SNOMEDCT/635006
Structure of superior articular process of seventh thoracic vertebra,SNOMED CT,650002,http://purl.bioontology.org/ontology/SNOMEDCT/650002
Tracheal mucous membrane,SNOMED CT,660006,http://purl.bioontology.org/ontology/SNOMEDCT/660006
Jaw region structure,SNOMED CT,661005,http://purl.bioontology.org/ontology/SNOMEDCT/661005
Small intestine submucosa,SNOMED CT,691000,http://purl.bioontology.org/ontology/SNOMEDCT/691000
Structure of body of ischium,SNOMED CT,692007,http://purl.bioontology.org/ontology/SNOMEDCT/692007
Head and neck structure,SNOMED CT,774007,http://purl.bioontology.org/ontology/SNOMEDCT/774007
Structure of visceral aspect of liver,SNOMED CT,790007,http://purl.bioontology.org/ontology/SNOMEDCT/790007
Structure of posterior intercostal artery,SNOMED CT,808000,http://purl.bioontology.org/ontology/SNOMEDCT/808000
Structure of posterior cervical spinal cord nerve root,SNOMED CT,823005,http://purl.bioontology.org/ontology/SNOMEDCT/823005
Structure of spinous process of fifth thoracic vertebra,SNOMED CT,830004,http://purl.bioontology.org/ontology/SNOMEDCT/830004
Structure of oral region of face,SNOMED CT,836005,http://purl.bioontology.org/ontology/SNOMEDCT/836005
Lamina muscularis of colonic mucous membrane,SNOMED CT,885000,http://purl.bioontology.org/ontology/SNOMEDCT/885000
Structure of anterior cruciate ligament of knee joint,SNOMED CT,895007,http://purl.bioontology.org/ontology/SNOMEDCT/895007
Superior laryngeal aperture structure,SNOMED CT,917004,http://purl.bioontology.org/ontology/SNOMEDCT/917004
Structure of thyrohyoid branch of ansa cervicalis,SNOMED CT,921006,http://purl.bioontology.org/ontology/SNOMEDCT/921006
Structure of crus of diaphragm,SNOMED CT,947002,http://purl.bioontology.org/ontology/SNOMEDCT/947002
Bronchial structure,SNOMED CT,955009,http://purl.bioontology.org/ontology/SNOMEDCT/955009
Structure of meningeal branch of occipital artery,SNOMED CT,996007,http://purl.bioontology.org/ontology/SNOMEDCT/996007
Structure of fibrous portion of pericardium,SNOMED CT,1012000,http://purl.bioontology.org/ontology/SNOMEDCT/1012000
Structure of peritonsillar tissue,SNOMED CT,1015003,http://purl.bioontology.org/ontology/SNOMEDCT/1015003
Lamina of seventeenth thoracic vertebra,SNOMED CT,1016002,http://purl.bioontology.org/ontology/SNOMEDCT/1016002
Sebaceous gland structure,SNOMED CT,1028005,http://purl.bioontology.org/ontology/SNOMEDCT/1028005
Structure of vesicular bursa of sternohyoid muscle,SNOMED CT,1030007,http://purl.bioontology.org/ontology/SNOMEDCT/1030007
Structure of frontozygomatic suture of skull,SNOMED CT,1063000,http://purl.bioontology.org/ontology/SNOMEDCT/1063000
Structure of sternothyroid muscle,SNOMED CT,1087003,http://purl.bioontology.org/ontology/SNOMEDCT/1087003
Structure of superior occipital gyrus,SNOMED CT,1092001,http://purl.bioontology.org/ontology/SNOMEDCT/1092001
Structure of thymic cortex,SNOMED CT,1099005,http://purl.bioontology.org/ontology/SNOMEDCT/1099005
Cranial cavity structure,SNOMED CT,1101003,http://purl.bioontology.org/ontology/SNOMEDCT/1101003
Entire major calyx,SNOMED CT,1106008,http://purl.bioontology.org/ontology/SNOMEDCT/1106008
Structure of meibomian gland,SNOMED CT,1110006,http://purl.bioontology.org/ontology/SNOMEDCT/1110006
Structure of inferior longitudinal muscle of tongue,SNOMED CT,1122009,http://purl.bioontology.org/ontology/SNOMEDCT/1122009
Structure of frenulum linguae,SNOMED CT,1159005,http://purl.bioontology.org/ontology/SNOMEDCT/1159005
Structure of odontoid process of axis,SNOMED CT,1172006,http://purl.bioontology.org/ontology/SNOMEDCT/1172006
Structure of mandibular nerve,SNOMED CT,1173001,http://purl.bioontology.org/ontology/SNOMEDCT/1173001
Structure of teres major muscle,SNOMED CT,1193009,http://purl.bioontology.org/ontology/SNOMEDCT/1193009
Synostosis,SNOMED CT,1216008,http://purl.bioontology.org/ontology/SNOMEDCT/1216008
Meninges structure,SNOMED CT,1231004,http://purl.bioontology.org/ontology/SNOMEDCT/1231004
Duodenal serosa,SNOMED CT,1236009,http://purl.bioontology.org/ontology/SNOMEDCT/1236009
Structure of inferior articular process of sixth cervical vertebra,SNOMED CT,1243003,http://purl.bioontology.org/ontology/SNOMEDCT/1243003
Structure of dorsal digital nerves of radial nerve,SNOMED CT,1246006,http://purl.bioontology.org/ontology/SNOMEDCT/1246006
Structure of vertebral nerve,SNOMED CT,1277008,http://purl.bioontology.org/ontology/SNOMEDCT/1277008
Glottis structure,SNOMED CT,1307006,http://purl.bioontology.org/ontology/SNOMEDCT/1307006
Telogen hair,SNOMED CT,1311000,http://purl.bioontology.org/ontology/SNOMEDCT/1311000
Structure of deep flexor tendon of index finger,SNOMED CT,1350001,http://purl.bioontology.org/ontology/SNOMEDCT/1350001
Gastric serosa,SNOMED CT,1353004,http://purl.bioontology.org/ontology/SNOMEDCT/1353004
Structure of vastus lateralis muscle,SNOMED CT,1403006,http://purl.bioontology.org/ontology/SNOMEDCT/1403006
Structure of posterior limb of stapes,SNOMED CT,1425000,http://purl.bioontology.org/ontology/SNOMEDCT/1425000
Structure of paravesicular lymph node,SNOMED CT,1439000,http://purl.bioontology.org/ontology/SNOMEDCT/1439000
Structure of ventricle of larynx,SNOMED CT,1441004,http://purl.bioontology.org/ontology/SNOMEDCT/1441004
Yellow fibrocartilage,SNOMED CT,1456008,http://purl.bioontology.org/ontology/SNOMEDCT/1456008
Structure of parietal branch of superficial temporal artery,SNOMED CT,1467009,http://purl.bioontology.org/ontology/SNOMEDCT/1467009
Structure of metatarsal region of foot,SNOMED CT,1484003,http://purl.bioontology.org/ontology/SNOMEDCT/1484003
Structure of soft tissues of trunk,SNOMED CT,1490004,http://purl.bioontology.org/ontology/SNOMEDCT/1490004
Structure of anterior cecal artery,SNOMED CT,1502004,http://purl.bioontology.org/ontology/SNOMEDCT/1502004
Structure of lamina of fourth thoracic vertebra,SNOMED CT,1527006,http://purl.bioontology.org/ontology/SNOMEDCT/1527006
Intervertebral disc structure of eleventh thoracic vertebra,SNOMED CT,1537001,http://purl.bioontology.org/ontology/SNOMEDCT/1537001
Structure of coccygeal plexus,SNOMED CT,1541002,http://purl.bioontology.org/ontology/SNOMEDCT/1541002
Structure of nucleus pulposus of intervertebral disc of third lumbar vertebra,SNOMED CT,1562001,http://purl.bioontology.org/ontology/SNOMEDCT/1562001
Structure of nail of third toe,SNOMED CT,1569005,http://purl.bioontology.org/ontology/SNOMEDCT/1569005
Skin structure of palmar area of hand and finger,SNOMED CT,1570006,http://purl.bioontology.org/ontology/SNOMEDCT/1570006
Structure of ventral lateral nucleus of thalamus,SNOMED CT,1580005,http://purl.bioontology.org/ontology/SNOMEDCT/1580005
Structure of ileal artery,SNOMED CT,1581009,http://purl.bioontology.org/ontology/SNOMEDCT/1581009
Structure of splenius capitis muscle,SNOMED CT,1600003,http://purl.bioontology.org/ontology/SNOMEDCT/1600003
Structure of otoconia,SNOMED CT,1610007,http://purl.bioontology.org/ontology/SNOMEDCT/1610007
Structure of intrinsic larynx,SNOMED CT,1617005,http://purl.bioontology.org/ontology/SNOMEDCT/1617005
Bone structure of T3,SNOMED CT,1626008,http://purl.bioontology.org/ontology/SNOMEDCT/1626008
Structure of medial collateral ligament of knee joint,SNOMED CT,1627004,http://purl.bioontology.org/ontology/SNOMEDCT/1627004
Structure of supraorbital vein,SNOMED CT,1630006,http://purl.bioontology.org/ontology/SNOMEDCT/1630006
Structure of hilum of left lung,SNOMED CT,1650005,http://purl.bioontology.org/ontology/SNOMEDCT/1650005
Structure of transverse peduncular tract nucleus,SNOMED CT,1655000,http://purl.bioontology.org/ontology/SNOMEDCT/1655000
Structure of dorsomedial nucleus of thalamus,SNOMED CT,1659006,http://purl.bioontology.org/ontology/SNOMEDCT/1659006
Structure of ligamentum teres of liver,SNOMED CT,1684009,http://purl.bioontology.org/ontology/SNOMEDCT/1684009
Structure of thymic lobule,SNOMED CT,1706004,http://purl.bioontology.org/ontology/SNOMEDCT/1706004
Structure of ventral nuclear group of thalamus,SNOMED CT,1707008,http://purl.bioontology.org/ontology/SNOMEDCT/1707008
Periorbital region structure,SNOMED CT,1711002,http://purl.bioontology.org/ontology/SNOMEDCT/1711002
Cupula ampullaris,SNOMED CT,1716007,http://purl.bioontology.org/ontology/SNOMEDCT/1716007
Right faucial tonsil structure,SNOMED CT,1721005,http://purl.bioontology.org/ontology/SNOMEDCT/1721005
Structure of central tegmental tract,SNOMED CT,1729007,http://purl.bioontology.org/ontology/SNOMEDCT/1729007
Thoracic duct structure,SNOMED CT,1732005,http://purl.bioontology.org/ontology/SNOMEDCT/1732005
Guttural pouch,SNOMED CT,1737004,http://purl.bioontology.org/ontology/SNOMEDCT/1737004
Structure of lymphatic vessel of thorax,SNOMED CT,1765002,http://purl.bioontology.org/ontology/SNOMEDCT/1765002
Structure of sacroiliac region,SNOMED CT,1781007,http://purl.bioontology.org/ontology/SNOMEDCT/1781007
Structure of anterior naris,SNOMED CT,1797002,http://purl.bioontology.org/ontology/SNOMEDCT/1797002
Structure of greater circulus arteriosus of iris,SNOMED CT,1818002,http://purl.bioontology.org/ontology/SNOMEDCT/1818002
Entire root of nose,SNOMED CT,1825009,http://purl.bioontology.org/ontology/SNOMEDCT/1825009
Structure of bulbar conjunctiva,SNOMED CT,1832000,http://purl.bioontology.org/ontology/SNOMEDCT/1832000
Arrector pili muscle structure,SNOMED CT,1840006,http://purl.bioontology.org/ontology/SNOMEDCT/1840006
Structure of pharyngeal recess,SNOMED CT,1849007,http://purl.bioontology.org/ontology/SNOMEDCT/1849007
Structure of suprahyoid muscle,SNOMED CT,1853009,http://purl.bioontology.org/ontology/SNOMEDCT/1853009
Entire promontory common iliac lymph node,SNOMED CT,1874005,http://purl.bioontology.org/ontology/SNOMEDCT/1874005
Joint structure of shoulder girdle or upper limb,SNOMED CT,1893007,http://purl.bioontology.org/ontology/SNOMEDCT/1893007
Dorsal sac of rumen,SNOMED CT,1901002,http://purl.bioontology.org/ontology/SNOMEDCT/1901002
Skin structure of ear,SNOMED CT,1902009,http://purl.bioontology.org/ontology/SNOMEDCT/1902009
Structure of suprarenal aorta,SNOMED CT,1918003,http://purl.bioontology.org/ontology/SNOMEDCT/1918003
Entire left elbow region,SNOMED CT,1927002,http://purl.bioontology.org/ontology/SNOMEDCT/1927002
Structure of porus acusticus internus,SNOMED CT,1992003,http://purl.bioontology.org/ontology/SNOMEDCT/1992003
Structure of cingulum dentis,SNOMED CT,1997009,http://purl.bioontology.org/ontology/SNOMEDCT/1997009
Structure of clavicular facet of scapula,SNOMED CT,2010005,http://purl.bioontology.org/ontology/SNOMEDCT/2010005
Structure of superior thoracic artery,SNOMED CT,2020000,http://purl.bioontology.org/ontology/SNOMEDCT/2020000
Structure of anterior median fissure of spinal cord,SNOMED CT,2031008,http://purl.bioontology.org/ontology/SNOMEDCT/2031008
Structure of vaginal nerves,SNOMED CT,2044003,http://purl.bioontology.org/ontology/SNOMEDCT/2044003
Lingual tonsil structure,SNOMED CT,2048000,http://purl.bioontology.org/ontology/SNOMEDCT/2048000
Skin structure of ear lobule,SNOMED CT,2059009,http://purl.bioontology.org/ontology/SNOMEDCT/2059009
Structure of reticular formation of spinal cord,SNOMED CT,2071003,http://purl.bioontology.org/ontology/SNOMEDCT/2071003
Structure of head of phalanx of hand,SNOMED CT,2076008,http://purl.bioontology.org/ontology/SNOMEDCT/2076008
Structure of nucleus ambiguus,SNOMED CT,2083001,http://purl.bioontology.org/ontology/SNOMEDCT/2083001
Nasal sinus structure,SNOMED CT,2095001,http://purl.bioontology.org/ontology/SNOMEDCT/2095001
Intervertebral disc of seventeenth thoracic vertebra,SNOMED CT,2117006,http://purl.bioontology.org/ontology/SNOMEDCT/2117006
Structure of tuberomammillary nucleus,SNOMED CT,2123001,http://purl.bioontology.org/ontology/SNOMEDCT/2123001
Avian stomach,SNOMED CT,2133009,http://purl.bioontology.org/ontology/SNOMEDCT/2133009
Structure of ligamentum arteriosum,SNOMED CT,2160002,http://purl.bioontology.org/ontology/SNOMEDCT/2160002
Structure of pharyngeal cavity,SNOMED CT,2175005,http://purl.bioontology.org/ontology/SNOMEDCT/2175005
Structure of clavicular part of pectoralis major muscle,SNOMED CT,2192001,http://purl.bioontology.org/ontology/SNOMEDCT/2192001
Structure of lamina of fifth thoracic vertebra,SNOMED CT,2205003,http://purl.bioontology.org/ontology/SNOMEDCT/2205003
Cerebral basal surface structure,SNOMED CT,2209009,http://purl.bioontology.org/ontology/SNOMEDCT/2209009
Lesser osseous pelvis,SNOMED CT,2236006,http://purl.bioontology.org/ontology/SNOMEDCT/2236006
Subserosa,SNOMED CT,2255006,http://purl.bioontology.org/ontology/SNOMEDCT/2255006
Bunodont tooth,SNOMED CT,2258008,http://purl.bioontology.org/ontology/SNOMEDCT/2258008
Structure of torcular Herophili,SNOMED CT,2285001,http://purl.bioontology.org/ontology/SNOMEDCT/2285001
Structure of nasopharyngeal gland,SNOMED CT,2292006,http://purl.bioontology.org/ontology/SNOMEDCT/2292006
Structure of vein of the knee,SNOMED CT,2302002,http://purl.bioontology.org/ontology/SNOMEDCT/2302002
Structure of spinous process of cervical vertebra,SNOMED CT,2305000,http://purl.bioontology.org/ontology/SNOMEDCT/2305000
Structure of base of third metacarpal bone,SNOMED CT,2306004,http://purl.bioontology.org/ontology/SNOMEDCT/2306004
Salivary seromucous gland,SNOMED CT,2327009,http://purl.bioontology.org/ontology/SNOMEDCT/2327009
Structure of segmental bronchial branches,SNOMED CT,2330002,http://purl.bioontology.org/ontology/SNOMEDCT/2330002
Renal calyx,SNOMED CT,2334006,http://purl.bioontology.org/ontology/SNOMEDCT/2334006
Structure of nasal suture of skull,SNOMED CT,2349003,http://purl.bioontology.org/ontology/SNOMEDCT/2349003
Crest of head of fifteenth rib,SNOMED CT,2352006,http://purl.bioontology.org/ontology/SNOMEDCT/2352006
Structure of medial surface of toe,SNOMED CT,2372001,http://purl.bioontology.org/ontology/SNOMEDCT/2372001
Structure of papillary muscles of right ventricle,SNOMED CT,2383005,http://purl.bioontology.org/ontology/SNOMEDCT/2383005
Structure of superior margin of adrenal gland,SNOMED CT,2389009,http://purl.bioontology.org/ontology/SNOMEDCT/2389009
Structure of transverse facial artery,SNOMED CT,2395005,http://purl.bioontology.org/ontology/SNOMEDCT/2395005
Structure of first metatarsal facet of medial cuneiform bone,SNOMED CT,2397002,http://purl.bioontology.org/ontology/SNOMEDCT/2397002
Structure of mandibular left first premolar tooth,SNOMED CT,2400006,http://purl.bioontology.org/ontology/SNOMEDCT/2400006
Structure of dorsum of foot,SNOMED CT,2402003,http://purl.bioontology.org/ontology/SNOMEDCT/2402003
Structure of submaxillary ganglion,SNOMED CT,2421006,http://purl.bioontology.org/ontology/SNOMEDCT/2421006
Structure of digital tendon and tendon sheath of foot,SNOMED CT,2433001,http://purl.bioontology.org/ontology/SNOMEDCT/2433001
Tunica intima of vein,SNOMED CT,2436009,http://purl.bioontology.org/ontology/SNOMEDCT/2436009
Subcutaneous tissue structure of posterior surface of forearm,SNOMED CT,2453002,http://purl.bioontology.org/ontology/SNOMEDCT/2453002
"Structure of articular surface, third metacarpal, of second metacarpal bone",SNOMED CT,2454008,http://purl.bioontology.org/ontology/SNOMEDCT/2454008
Structure of medial check ligament of eye,SNOMED CT,2489005,http://purl.bioontology.org/ontology/SNOMEDCT/2489005
Entire cisterna pontis,SNOMED CT,2499000,http://purl.bioontology.org/ontology/SNOMEDCT/2499000
Structure of pancreatic plexus,SNOMED CT,2504000,http://purl.bioontology.org/ontology/SNOMEDCT/2504000
Femoral triangle structure,SNOMED CT,2510000,http://purl.bioontology.org/ontology/SNOMEDCT/2510000
Structure of superior rectal artery,SNOMED CT,2539000,http://purl.bioontology.org/ontology/SNOMEDCT/2539000
Structure of cuboid articular facet of fourth metatarsal bone,SNOMED CT,2543001,http://purl.bioontology.org/ontology/SNOMEDCT/2543001
Bone structure of phalanx of thumb,SNOMED CT,2550002,http://purl.bioontology.org/ontology/SNOMEDCT/2550002
Clavicular air sac,SNOMED CT,2574004,http://purl.bioontology.org/ontology/SNOMEDCT/2574004
Structure of gracilis muscle,SNOMED CT,2577006,http://purl.bioontology.org/ontology/SNOMEDCT/2577006
All extremities,SNOMED CT,2592007,http://purl.bioontology.org/ontology/SNOMEDCT/2592007
Structure of flexor pollicis longus muscle tendon,SNOMED CT,2600000,http://purl.bioontology.org/ontology/SNOMEDCT/2600000
Intervertebral disc structure of third thoracic vertebra,SNOMED CT,2620004,http://purl.bioontology.org/ontology/SNOMEDCT/2620004
Neuroendocrine tissue,SNOMED CT,2639009,http://purl.bioontology.org/ontology/SNOMEDCT/2639009
Structure of posterior thalamic radiation of internal capsule,SNOMED CT,2653009,http://purl.bioontology.org/ontology/SNOMEDCT/2653009
Structure of semispinalis capitis muscle,SNOMED CT,2666009,http://purl.bioontology.org/ontology/SNOMEDCT/2666009
Structure of anterior cutaneous branch of lumbosacral plexus,SNOMED CT,2672009,http://purl.bioontology.org/ontology/SNOMEDCT/2672009
Structure of anterior ethmoidal artery,SNOMED CT,2675006,http://purl.bioontology.org/ontology/SNOMEDCT/2675006
Structure of mucous membrane of urinary bladder,SNOMED CT,2682005,http://purl.bioontology.org/ontology/SNOMEDCT/2682005
Structure of medial olfactory gyrus,SNOMED CT,2686008,http://purl.bioontology.org/ontology/SNOMEDCT/2686008
Structure of Bowman's space,SNOMED CT,2687004,http://purl.bioontology.org/ontology/SNOMEDCT/2687004
Left maxillary sinus structure,SNOMED CT,2695000,http://purl.bioontology.org/ontology/SNOMEDCT/2695000
Structure of capsule of ankle joint,SNOMED CT,2712006,http://purl.bioontology.org/ontology/SNOMEDCT/2712006
Structure of apical foramen of tooth,SNOMED CT,2718005,http://purl.bioontology.org/ontology/SNOMEDCT/2718005
Structure of fold for stapes,SNOMED CT,2726002,http://purl.bioontology.org/ontology/SNOMEDCT/2726002
Structure of medial occipitotemporal gyrus,SNOMED CT,2741002,http://purl.bioontology.org/ontology/SNOMEDCT/2741002
Circular layer of gastric muscularis,SNOMED CT,2746007,http://purl.bioontology.org/ontology/SNOMEDCT/2746007
Spinal cord structure,SNOMED CT,2748008,http://purl.bioontology.org/ontology/SNOMEDCT/2748008
Eccrine gland structure,SNOMED CT,2759004,http://purl.bioontology.org/ontology/SNOMEDCT/2759004
Lamina propria of ureter,SNOMED CT,2771005,http://purl.bioontology.org/ontology/SNOMEDCT/2771005
Angle of thirteenth rib,SNOMED CT,2774002,http://purl.bioontology.org/ontology/SNOMEDCT/2774002
Capsule of distal interphalangeal joint of thumb,SNOMED CT,2779007,http://purl.bioontology.org/ontology/SNOMEDCT/2779007
Apocrine gland structure,SNOMED CT,2789006,http://purl.bioontology.org/ontology/SNOMEDCT/2789006
Structure of pars tensa of tympanic membrane,SNOMED CT,2792005,http://purl.bioontology.org/ontology/SNOMEDCT/2792005
Structure of tendon sheath of popliteus muscle,SNOMED CT,2803000,http://purl.bioontology.org/ontology/SNOMEDCT/2803000
Structure of head of femur,SNOMED CT,2812003,http://purl.bioontology.org/ontology/SNOMEDCT/2812003
Structure of spinous process of fourth thoracic vertebra,SNOMED CT,2824005,http://purl.bioontology.org/ontology/SNOMEDCT/2824005
Structure of lamina of fourth lumbar vertebra,SNOMED CT,2826007,http://purl.bioontology.org/ontology/SNOMEDCT/2826007
Structure of dorsal digital nerves of lateral hallux and medial second toe,SNOMED CT,2830005,http://purl.bioontology.org/ontology/SNOMEDCT/2830005
Structure of renal artery,SNOMED CT,2841007,http://purl.bioontology.org/ontology/SNOMEDCT/2841007
Structure of respiratory epithelium,SNOMED CT,2845003,http://purl.bioontology.org/ontology/SNOMEDCT/2845003
Structure of superficial epigastric artery,SNOMED CT,2848001,http://purl.bioontology.org/ontology/SNOMEDCT/2848001
Structure of accessory cephalic vein,SNOMED CT,2855004,http://purl.bioontology.org/ontology/SNOMEDCT/2855004
Structure of posterior epiglottis,SNOMED CT,2894003,http://purl.bioontology.org/ontology/SNOMEDCT/2894003
Structure of posterior portion of diaphragmatic aspect of liver,SNOMED CT,2909002,http://purl.bioontology.org/ontology/SNOMEDCT/2909002
Structure of facial nerve motor branch,SNOMED CT,2920002,http://purl.bioontology.org/ontology/SNOMEDCT/2920002
Structure of posterior papillary muscle of left ventricle,SNOMED CT,2922005,http://purl.bioontology.org/ontology/SNOMEDCT/2922005
Subcutaneous tissue structure of supraorbital area,SNOMED CT,2923000,http://purl.bioontology.org/ontology/SNOMEDCT/2923000
Deciduous supernumerary tooth,SNOMED CT,2954001,http://purl.bioontology.org/ontology/SNOMEDCT/2954001
Body space structure,SNOMED CT,2969000,http://purl.bioontology.org/ontology/SNOMEDCT/2969000
Bone structure of medial cuneiform,SNOMED CT,2979003,http://purl.bioontology.org/ontology/SNOMEDCT/2979003
Structure of talar facet of navicular bone of foot,SNOMED CT,2986006,http://purl.bioontology.org/ontology/SNOMEDCT/2986006
Internal capsule anterior limb structure,SNOMED CT,3003007,http://purl.bioontology.org/ontology/SNOMEDCT/3003007
White fibrocartilage,SNOMED CT,3008003,http://purl.bioontology.org/ontology/SNOMEDCT/3008003
Tapetum lucidum,SNOMED CT,3034006,http://purl.bioontology.org/ontology/SNOMEDCT/3034006
Subcutaneous tissue structure of thigh,SNOMED CT,3039001,http://purl.bioontology.org/ontology/SNOMEDCT/3039001
Structure of glomerular urinary pole,SNOMED CT,3042007,http://purl.bioontology.org/ontology/SNOMEDCT/3042007
"Structure of articular surface, metacarpal, of phalanx of thumb",SNOMED CT,3054007,http://purl.bioontology.org/ontology/SNOMEDCT/3054007
Structure of bone marrow of vertebral body,SNOMED CT,3055008,http://purl.bioontology.org/ontology/SNOMEDCT/3055008
Structure of anteroventral nucleus of thalamus,SNOMED CT,3056009,http://purl.bioontology.org/ontology/SNOMEDCT/3056009
