name,definition,codesystem,code,ontologyTermURI
application/EmergencyCallData.SubscriberInfo+xml,application/EmergencyCallData.SubscriberInfo+xml,IANA,,https://www.iana.org/assignments/media-types/application/EmergencyCallData.SubscriberInfo+xml
application/EmergencyCallData.VEDS+xml,application/EmergencyCallData.VEDS+xml,IANA,,https://www.iana.org/assignments/media-types/application/EmergencyCallData.VEDS+xml
application/EmergencyCallData.cap+xml,application/EmergencyCallData.cap+xml,IANA,,https://www.iana.org/assignments/media-types/application/EmergencyCallData.cap+xml
application/EmergencyCallData.eCall.MSD,application/EmergencyCallData.eCall.MSD,IANA,,https://www.iana.org/assignments/media-types/application/EmergencyCallData.eCall.MSD
application/H224,application/H224,IANA,,https://www.iana.org/assignments/media-types/application/H224
application/IOTP,application/IOTP,IANA,,https://www.iana.org/assignments/media-types/application/IOTP
application/ISUP,application/ISUP,IANA,,https://www.iana.org/assignments/media-types/application/ISUP
application/LXF,application/LXF,IANA,,https://www.iana.org/assignments/media-types/application/LXF
application/MF4,application/MF4,IANA,,https://www.iana.org/assignments/media-types/application/MF4
application/ODA,application/ODA,IANA,,https://www.iana.org/assignments/media-types/application/ODA
application/ODX,application/ODX,IANA,,https://www.iana.org/assignments/media-types/application/ODX
application/PDX,application/PDX,IANA,,https://www.iana.org/assignments/media-types/application/PDX
application/QSIG,application/QSIG,IANA,,https://www.iana.org/assignments/media-types/application/QSIG
application/SGML,application/SGML,IANA,,https://www.iana.org/assignments/media-types/application/SGML
application/ST2110-41,application/ST2110-41,IANA,,https://www.iana.org/assignments/media-types/application/ST2110-41
application/TETRA_ISI,application/TETRA_ISI,IANA,,https://www.iana.org/assignments/media-types/application/TETRA_ISI
application/ace+cbor,application/ace+cbor,IANA,,https://www.iana.org/assignments/media-types/application/ace+cbor
application/ace+json,application/ace+json,IANA,,https://www.iana.org/assignments/media-types/application/ace+json
application/ace-groupcomm+cbor,application/ace-groupcomm+cbor,IANA,,https://www.iana.org/assignments/media-types/application/ace-groupcomm+cbor
application/activemessage,application/activemessage,IANA,,https://www.iana.org/assignments/media-types/application/activemessage
application/activity+json,application/activity+json,IANA,,https://www.iana.org/assignments/media-types/application/activity+json
application/aif+cbor,application/aif+cbor,IANA,,https://www.iana.org/assignments/media-types/application/aif+cbor
application/aif+json,application/aif+json,IANA,,https://www.iana.org/assignments/media-types/application/aif+json
application/alto-cdni+json,application/alto-cdni+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-cdni+json
application/alto-cdnifilter+json,application/alto-cdnifilter+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-cdnifilter+json
application/alto-costmap+json,application/alto-costmap+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-costmap+json
application/alto-costmapfilter+json,application/alto-costmapfilter+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-costmapfilter+json
application/alto-directory+json,application/alto-directory+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-directory+json
application/alto-endpointcost+json,application/alto-endpointcost+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-endpointcost+json
application/alto-endpointcostparams+json,application/alto-endpointcostparams+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-endpointcostparams+json
application/alto-endpointprop+json,application/alto-endpointprop+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-endpointprop+json
application/alto-endpointpropparams+json,application/alto-endpointpropparams+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-endpointpropparams+json
application/alto-error+json,application/alto-error+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-error+json
application/alto-networkmap+json,application/alto-networkmap+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-networkmap+json
application/alto-networkmapfilter+json,application/alto-networkmapfilter+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-networkmapfilter+json
application/alto-propmap+json,application/alto-propmap+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-propmap+json
application/alto-propmapparams+json,application/alto-propmapparams+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-propmapparams+json
application/alto-tips+json,application/alto-tips+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-tips+json
application/alto-tipsparams+json,application/alto-tipsparams+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-tipsparams+json
application/alto-updatestreamcontrol+json,application/alto-updatestreamcontrol+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-updatestreamcontrol+json
application/alto-updatestreamparams+json,application/alto-updatestreamparams+json,IANA,,https://www.iana.org/assignments/media-types/application/alto-updatestreamparams+json
application/andrew-inset,application/andrew-inset,IANA,,https://www.iana.org/assignments/media-types/application/andrew-inset
application/applefile,application/applefile,IANA,,https://www.iana.org/assignments/media-types/application/applefile
application/at+jwt,application/at+jwt,IANA,,https://www.iana.org/assignments/media-types/application/at+jwt
application/atom+xml,application/atom+xml,IANA,,https://www.iana.org/assignments/media-types/application/atom+xml
application/atomcat+xml,application/atomcat+xml,IANA,,https://www.iana.org/assignments/media-types/application/atomcat+xml
application/atomdeleted+xml,application/atomdeleted+xml,IANA,,https://www.iana.org/assignments/media-types/application/atomdeleted+xml
application/atomicmail,application/atomicmail,IANA,,https://www.iana.org/assignments/media-types/application/atomicmail
application/atomsvc+xml,application/atomsvc+xml,IANA,,https://www.iana.org/assignments/media-types/application/atomsvc+xml
application/atsc-dwd+xml,application/atsc-dwd+xml,IANA,,https://www.iana.org/assignments/media-types/application/atsc-dwd+xml
application/atsc-dynamic-event-message,application/atsc-dynamic-event-message,IANA,,https://www.iana.org/assignments/media-types/application/atsc-dynamic-event-message
application/atsc-held+xml,application/atsc-held+xml,IANA,,https://www.iana.org/assignments/media-types/application/atsc-held+xml
application/atsc-rdt+json,application/atsc-rdt+json,IANA,,https://www.iana.org/assignments/media-types/application/atsc-rdt+json
application/atsc-rsat+xml,application/atsc-rsat+xml,IANA,,https://www.iana.org/assignments/media-types/application/atsc-rsat+xml
application/auth-policy+xml,application/auth-policy+xml,IANA,,https://www.iana.org/assignments/media-types/application/auth-policy+xml
application/automationml-aml+xml,application/automationml-aml+xml,IANA,,https://www.iana.org/assignments/media-types/application/automationml-aml+xml
application/automationml-amlx+zip,application/automationml-amlx+zip,IANA,,https://www.iana.org/assignments/media-types/application/automationml-amlx+zip
application/bacnet-xdd+zip,application/bacnet-xdd+zip,IANA,,https://www.iana.org/assignments/media-types/application/bacnet-xdd+zip
application/batch-SMTP,application/batch-SMTP,IANA,,https://www.iana.org/assignments/media-types/application/batch-SMTP
application/beep+xml,application/beep+xml,IANA,,https://www.iana.org/assignments/media-types/application/beep+xml
application/bufr,application/bufr,IANA,,https://www.iana.org/assignments/media-types/application/bufr
application/c2pa,application/c2pa,IANA,,https://www.iana.org/assignments/media-types/application/c2pa
application/calendar+json,application/calendar+json,IANA,,https://www.iana.org/assignments/media-types/application/calendar+json
application/calendar+xml,application/calendar+xml,IANA,,https://www.iana.org/assignments/media-types/application/calendar+xml
application/call-completion,application/call-completion,IANA,,https://www.iana.org/assignments/media-types/application/call-completion
application/captive+json,application/captive+json,IANA,,https://www.iana.org/assignments/media-types/application/captive+json
application/cbor,application/cbor,IANA,,https://www.iana.org/assignments/media-types/application/cbor
application/cbor-seq,application/cbor-seq,IANA,,https://www.iana.org/assignments/media-types/application/cbor-seq
application/cccex,application/cccex,IANA,,https://www.iana.org/assignments/media-types/application/cccex
application/ccmp+xml,application/ccmp+xml,IANA,,https://www.iana.org/assignments/media-types/application/ccmp+xml
application/ccxml+xml,application/ccxml+xml,IANA,,https://www.iana.org/assignments/media-types/application/ccxml+xml
application/cda+xml,application/cda+xml,IANA,,https://www.iana.org/assignments/media-types/application/cda+xml
application/cdmi-capability,application/cdmi-capability,IANA,,https://www.iana.org/assignments/media-types/application/cdmi-capability
application/cdmi-container,application/cdmi-container,IANA,,https://www.iana.org/assignments/media-types/application/cdmi-container
application/cdmi-domain,application/cdmi-domain,IANA,,https://www.iana.org/assignments/media-types/application/cdmi-domain
application/cdmi-object,application/cdmi-object,IANA,,https://www.iana.org/assignments/media-types/application/cdmi-object
application/cdmi-queue,application/cdmi-queue,IANA,,https://www.iana.org/assignments/media-types/application/cdmi-queue
application/cdni,application/cdni,IANA,,https://www.iana.org/assignments/media-types/application/cdni
application/cea-2018+xml,application/cea-2018+xml,IANA,,https://www.iana.org/assignments/media-types/application/cea-2018+xml
application/cellml+xml,application/cellml+xml,IANA,,https://www.iana.org/assignments/media-types/application/cellml+xml
application/cfw,application/cfw,IANA,,https://www.iana.org/assignments/media-types/application/cfw
application/cid-edhoc+cbor-seq,application/cid-edhoc+cbor-seq,IANA,,https://www.iana.org/assignments/media-types/application/cid-edhoc+cbor-seq
application/city+json,application/city+json,IANA,,https://www.iana.org/assignments/media-types/application/city+json
application/clr,application/clr,IANA,,https://www.iana.org/assignments/media-types/application/clr
application/clue+xml,application/clue+xml,IANA,,https://www.iana.org/assignments/media-types/application/clue+xml
application/clue_info+xml,application/clue_info+xml,IANA,,https://www.iana.org/assignments/media-types/application/clue_info+xml
application/cms,application/cms,IANA,,https://www.iana.org/assignments/media-types/application/cms
application/cnrp+xml,application/cnrp+xml,IANA,,https://www.iana.org/assignments/media-types/application/cnrp+xml
application/coap-group+json,application/coap-group+json,IANA,,https://www.iana.org/assignments/media-types/application/coap-group+json
application/coap-payload,application/coap-payload,IANA,,https://www.iana.org/assignments/media-types/application/coap-payload
application/commonground,application/commonground,IANA,,https://www.iana.org/assignments/media-types/application/commonground
application/concise-problem-details+cbor,application/concise-problem-details+cbor,IANA,,https://www.iana.org/assignments/media-types/application/concise-problem-details+cbor
application/conference-info+xml,application/conference-info+xml,IANA,,https://www.iana.org/assignments/media-types/application/conference-info+xml
application/cose,application/cose,IANA,,https://www.iana.org/assignments/media-types/application/cose
application/cose-key,application/cose-key,IANA,,https://www.iana.org/assignments/media-types/application/cose-key
application/cose-key-set,application/cose-key-set,IANA,,https://www.iana.org/assignments/media-types/application/cose-key-set
application/cose-x509,application/cose-x509,IANA,,https://www.iana.org/assignments/media-types/application/cose-x509
application/cpl+xml,application/cpl+xml,IANA,,https://www.iana.org/assignments/media-types/application/cpl+xml
application/csrattrs,application/csrattrs,IANA,,https://www.iana.org/assignments/media-types/application/csrattrs
application/csta+xml,application/csta+xml,IANA,,https://www.iana.org/assignments/media-types/application/csta+xml
application/csvm+json,application/csvm+json,IANA,,https://www.iana.org/assignments/media-types/application/csvm+json
application/cwl+json,application/cwl+json,IANA,,https://www.iana.org/assignments/media-types/application/cwl+json
application/cwl+yaml,application/cwl+yaml,IANA,,https://www.iana.org/assignments/media-types/application/cwl+yaml
application/cwl,application/cwl,IANA,,https://www.iana.org/assignments/media-types/application/cwl
application/cwt,application/cwt,IANA,,https://www.iana.org/assignments/media-types/application/cwt
application/cybercash,application/cybercash,IANA,,https://www.iana.org/assignments/media-types/application/cybercash
application/dash+xml,application/dash+xml,IANA,,https://www.iana.org/assignments/media-types/application/dash+xml
application/dash-patch+xml,application/dash-patch+xml,IANA,,https://www.iana.org/assignments/media-types/application/dash-patch+xml
application/dashdelta,application/dashdelta,IANA,,https://www.iana.org/assignments/media-types/application/dashdelta
application/davmount+xml,application/davmount+xml,IANA,,https://www.iana.org/assignments/media-types/application/davmount+xml
application/dca-rft,application/dca-rft,IANA,,https://www.iana.org/assignments/media-types/application/dca-rft
application/dec-dx,application/dec-dx,IANA,,https://www.iana.org/assignments/media-types/application/dec-dx
application/dialog-info+xml,application/dialog-info+xml,IANA,,https://www.iana.org/assignments/media-types/application/dialog-info+xml
application/dicom+json,application/dicom+json,IANA,,https://www.iana.org/assignments/media-types/application/dicom+json
application/dicom+xml,application/dicom+xml,IANA,,https://www.iana.org/assignments/media-types/application/dicom+xml
application/dicom,application/dicom,IANA,,https://www.iana.org/assignments/media-types/application/dicom
application/dns+json,application/dns+json,IANA,,https://www.iana.org/assignments/media-types/application/dns+json
application/dns,application/dns,IANA,,https://www.iana.org/assignments/media-types/application/dns
application/dns-message,application/dns-message,IANA,,https://www.iana.org/assignments/media-types/application/dns-message
application/dots+cbor,application/dots+cbor,IANA,,https://www.iana.org/assignments/media-types/application/dots+cbor
application/dpop+jwt,application/dpop+jwt,IANA,,https://www.iana.org/assignments/media-types/application/dpop+jwt
application/dskpp+xml,application/dskpp+xml,IANA,,https://www.iana.org/assignments/media-types/application/dskpp+xml
application/dssc+der,application/dssc+der,IANA,,https://www.iana.org/assignments/media-types/application/dssc+der
application/dssc+xml,application/dssc+xml,IANA,,https://www.iana.org/assignments/media-types/application/dssc+xml
application/dvcs,application/dvcs,IANA,,https://www.iana.org/assignments/media-types/application/dvcs
application/ecmascript,application/ecmascript,IANA,,https://www.iana.org/assignments/media-types/application/ecmascript
application/edhoc+cbor-seq,application/edhoc+cbor-seq,IANA,,https://www.iana.org/assignments/media-types/application/edhoc+cbor-seq
application/efi,application/efi,IANA,,https://www.iana.org/assignments/media-types/application/efi
application/elm+json,application/elm+json,IANA,,https://www.iana.org/assignments/media-types/application/elm+json
application/elm+xml,application/elm+xml,IANA,,https://www.iana.org/assignments/media-types/application/elm+xml
application/emma+xml,application/emma+xml,IANA,,https://www.iana.org/assignments/media-types/application/emma+xml
application/emotionml+xml,application/emotionml+xml,IANA,,https://www.iana.org/assignments/media-types/application/emotionml+xml
application/encaprtp,application/encaprtp,IANA,,https://www.iana.org/assignments/media-types/application/encaprtp
application/entity-statement+jwt,application/entity-statement+jwt,IANA,,https://www.iana.org/assignments/media-types/application/entity-statement+jwt
application/epp+xml,application/epp+xml,IANA,,https://www.iana.org/assignments/media-types/application/epp+xml
application/epub+zip,application/epub+zip,IANA,,https://www.iana.org/assignments/media-types/application/epub+zip
application/eshop,application/eshop,IANA,,https://www.iana.org/assignments/media-types/application/eshop
application/example,application/example,IANA,,https://www.iana.org/assignments/media-types/application/example
application/exi,application/exi,IANA,,https://www.iana.org/assignments/media-types/application/exi
application/expect-ct-report+json,application/expect-ct-report+json,IANA,,https://www.iana.org/assignments/media-types/application/expect-ct-report+json
application/express,application/express,IANA,,https://www.iana.org/assignments/media-types/application/express
application/fastinfoset,application/fastinfoset,IANA,,https://www.iana.org/assignments/media-types/application/fastinfoset
application/fastsoap,application/fastsoap,IANA,,https://www.iana.org/assignments/media-types/application/fastsoap
application/fdf,application/fdf,IANA,,https://www.iana.org/assignments/media-types/application/fdf
application/fdt+xml,application/fdt+xml,IANA,,https://www.iana.org/assignments/media-types/application/fdt+xml
application/fhir+json,application/fhir+json,IANA,,https://www.iana.org/assignments/media-types/application/fhir+json
application/fhir+xml,application/fhir+xml,IANA,,https://www.iana.org/assignments/media-types/application/fhir+xml
application/fits,application/fits,IANA,,https://www.iana.org/assignments/media-types/application/fits
application/flexfec,application/flexfec,IANA,,https://www.iana.org/assignments/media-types/application/flexfec
application/font-sfnt,application/font-sfnt,IANA,,https://www.iana.org/assignments/media-types/application/font-sfnt
application/font-tdpfr,application/font-tdpfr,IANA,,https://www.iana.org/assignments/media-types/application/font-tdpfr
application/font-woff,application/font-woff,IANA,,https://www.iana.org/assignments/media-types/application/font-woff
application/framework-attributes+xml,application/framework-attributes+xml,IANA,,https://www.iana.org/assignments/media-types/application/framework-attributes+xml
application/geo+json,application/geo+json,IANA,,https://www.iana.org/assignments/media-types/application/geo+json
application/geo+json-seq,application/geo+json-seq,IANA,,https://www.iana.org/assignments/media-types/application/geo+json-seq
application/geopackage+sqlite3,application/geopackage+sqlite3,IANA,,https://www.iana.org/assignments/media-types/application/geopackage+sqlite3
application/geopose+json,application/geopose+json,IANA,,https://www.iana.org/assignments/media-types/application/geopose+json
application/geoxacml+json,application/geoxacml+json,IANA,,https://www.iana.org/assignments/media-types/application/geoxacml+json
application/geoxacml+xml,application/geoxacml+xml,IANA,,https://www.iana.org/assignments/media-types/application/geoxacml+xml
application/gltf-buffer,application/gltf-buffer,IANA,,https://www.iana.org/assignments/media-types/application/gltf-buffer
application/gml+xml,application/gml+xml,IANA,,https://www.iana.org/assignments/media-types/application/gml+xml
application/gnap-binding-jws,application/gnap-binding-jws,IANA,,https://www.iana.org/assignments/media-types/application/gnap-binding-jws
application/gnap-binding-jwsd,application/gnap-binding-jwsd,IANA,,https://www.iana.org/assignments/media-types/application/gnap-binding-jwsd
application/gnap-binding-rotation-jws,application/gnap-binding-rotation-jws,IANA,,https://www.iana.org/assignments/media-types/application/gnap-binding-rotation-jws
application/gnap-binding-rotation-jwsd,application/gnap-binding-rotation-jwsd,IANA,,https://www.iana.org/assignments/media-types/application/gnap-binding-rotation-jwsd
application/grib,application/grib,IANA,,https://www.iana.org/assignments/media-types/application/grib
application/gzip,application/gzip,IANA,,https://www.iana.org/assignments/media-types/application/gzip
application/held+xml,application/held+xml,IANA,,https://www.iana.org/assignments/media-types/application/held+xml
application/hl7v2+xml,application/hl7v2+xml,IANA,,https://www.iana.org/assignments/media-types/application/hl7v2+xml
application/http,application/http,IANA,,https://www.iana.org/assignments/media-types/application/http
application/hyperstudio,application/hyperstudio,IANA,,https://www.iana.org/assignments/media-types/application/hyperstudio
application/ibe-key-request+xml,application/ibe-key-request+xml,IANA,,https://www.iana.org/assignments/media-types/application/ibe-key-request+xml
application/ibe-pkg-reply+xml,application/ibe-pkg-reply+xml,IANA,,https://www.iana.org/assignments/media-types/application/ibe-pkg-reply+xml
application/ibe-pp-data,application/ibe-pp-data,IANA,,https://www.iana.org/assignments/media-types/application/ibe-pp-data
application/iges,application/iges,IANA,,https://www.iana.org/assignments/media-types/application/iges
application/im-iscomposing+xml,application/im-iscomposing+xml,IANA,,https://www.iana.org/assignments/media-types/application/im-iscomposing+xml
application/index,application/index,IANA,,https://www.iana.org/assignments/media-types/application/index
application/index.cmd,application/index.cmd,IANA,,https://www.iana.org/assignments/media-types/application/index.cmd
application/index.obj,application/index.obj,IANA,,https://www.iana.org/assignments/media-types/application/index.obj
application/index.response,application/index.response,IANA,,https://www.iana.org/assignments/media-types/application/index.response
application/index.vnd,application/index.vnd,IANA,,https://www.iana.org/assignments/media-types/application/index.vnd
application/inkml+xml,application/inkml+xml,IANA,,https://www.iana.org/assignments/media-types/application/inkml+xml
application/ipfix,application/ipfix,IANA,,https://www.iana.org/assignments/media-types/application/ipfix
application/ipp,application/ipp,IANA,,https://www.iana.org/assignments/media-types/application/ipp
application/its+xml,application/its+xml,IANA,,https://www.iana.org/assignments/media-types/application/its+xml
application/java-archive,application/java-archive,IANA,,https://www.iana.org/assignments/media-types/application/java-archive
application/javascript,application/javascript,IANA,,https://www.iana.org/assignments/media-types/application/javascript
application/jf2feed+json,application/jf2feed+json,IANA,,https://www.iana.org/assignments/media-types/application/jf2feed+json
application/jose+json,application/jose+json,IANA,,https://www.iana.org/assignments/media-types/application/jose+json
application/jose,application/jose,IANA,,https://www.iana.org/assignments/media-types/application/jose
application/jrd+json,application/jrd+json,IANA,,https://www.iana.org/assignments/media-types/application/jrd+json
application/jscalendar+json,application/jscalendar+json,IANA,,https://www.iana.org/assignments/media-types/application/jscalendar+json
application/jscontact+json,application/jscontact+json,IANA,,https://www.iana.org/assignments/media-types/application/jscontact+json
application/json,application/json,IANA,,https://www.iana.org/assignments/media-types/application/json
application/json-patch+json,application/json-patch+json,IANA,,https://www.iana.org/assignments/media-types/application/json-patch+json
application/json-seq,application/json-seq,IANA,,https://www.iana.org/assignments/media-types/application/json-seq
application/jsonpath,application/jsonpath,IANA,,https://www.iana.org/assignments/media-types/application/jsonpath
application/jwk+json,application/jwk+json,IANA,,https://www.iana.org/assignments/media-types/application/jwk+json
application/jwk-set+json,application/jwk-set+json,IANA,,https://www.iana.org/assignments/media-types/application/jwk-set+json
application/jwk-set+jwt,application/jwk-set+jwt,IANA,,https://www.iana.org/assignments/media-types/application/jwk-set+jwt
application/jwt,application/jwt,IANA,,https://www.iana.org/assignments/media-types/application/jwt
application/kpml-request+xml,application/kpml-request+xml,IANA,,https://www.iana.org/assignments/media-types/application/kpml-request+xml
application/kpml-response+xml,application/kpml-response+xml,IANA,,https://www.iana.org/assignments/media-types/application/kpml-response+xml
application/ld+json,application/ld+json,IANA,,https://www.iana.org/assignments/media-types/application/ld+json
application/lgr+xml,application/lgr+xml,IANA,,https://www.iana.org/assignments/media-types/application/lgr+xml
application/link-format,application/link-format,IANA,,https://www.iana.org/assignments/media-types/application/link-format
application/linkset+json,application/linkset+json,IANA,,https://www.iana.org/assignments/media-types/application/linkset+json
application/linkset,application/linkset,IANA,,https://www.iana.org/assignments/media-types/application/linkset
application/load-control+xml,application/load-control+xml,IANA,,https://www.iana.org/assignments/media-types/application/load-control+xml
application/logout+jwt,application/logout+jwt,IANA,,https://www.iana.org/assignments/media-types/application/logout+jwt
application/lost+xml,application/lost+xml,IANA,,https://www.iana.org/assignments/media-types/application/lost+xml
application/lostsync+xml,application/lostsync+xml,IANA,,https://www.iana.org/assignments/media-types/application/lostsync+xml
application/lpf+zip,application/lpf+zip,IANA,,https://www.iana.org/assignments/media-types/application/lpf+zip
application/mac-binhex40,application/mac-binhex40,IANA,,https://www.iana.org/assignments/media-types/application/mac-binhex40
application/macwriteii,application/macwriteii,IANA,,https://www.iana.org/assignments/media-types/application/macwriteii
application/mads+xml,application/mads+xml,IANA,,https://www.iana.org/assignments/media-types/application/mads+xml
application/manifest+json,application/manifest+json,IANA,,https://www.iana.org/assignments/media-types/application/manifest+json
application/marc,application/marc,IANA,,https://www.iana.org/assignments/media-types/application/marc
application/marcxml+xml,application/marcxml+xml,IANA,,https://www.iana.org/assignments/media-types/application/marcxml+xml
application/mathematica,application/mathematica,IANA,,https://www.iana.org/assignments/media-types/application/mathematica
application/mathml+xml,application/mathml+xml,IANA,,https://www.iana.org/assignments/media-types/application/mathml+xml
application/mathml-content+xml,application/mathml-content+xml,IANA,,https://www.iana.org/assignments/media-types/application/mathml-content+xml
application/mathml-presentation+xml,application/mathml-presentation+xml,IANA,,https://www.iana.org/assignments/media-types/application/mathml-presentation+xml
application/mbms-associated-procedure-description+xml,application/mbms-associated-procedure-description+xml,IANA,,https://www.iana.org/assignments/media-types/application/mbms-associated-procedure-description+xml
application/mbms-deregister+xml,application/mbms-deregister+xml,IANA,,https://www.iana.org/assignments/media-types/application/mbms-deregister+xml
application/mbms-envelope+xml,application/mbms-envelope+xml,IANA,,https://www.iana.org/assignments/media-types/application/mbms-envelope+xml
application/mbms-msk+xml,application/mbms-msk+xml,IANA,,https://www.iana.org/assignments/media-types/application/mbms-msk+xml
application/mbms-msk-response+xml,application/mbms-msk-response+xml,IANA,,https://www.iana.org/assignments/media-types/application/mbms-msk-response+xml
application/mbms-protection-description+xml,application/mbms-protection-description+xml,IANA,,https://www.iana.org/assignments/media-types/application/mbms-protection-description+xml
application/mbms-reception-report+xml,application/mbms-reception-report+xml,IANA,,https://www.iana.org/assignments/media-types/application/mbms-reception-report+xml
application/mbms-register+xml,application/mbms-register+xml,IANA,,https://www.iana.org/assignments/media-types/application/mbms-register+xml
application/mbms-register-response+xml,application/mbms-register-response+xml,IANA,,https://www.iana.org/assignments/media-types/application/mbms-register-response+xml
application/mbms-schedule+xml,application/mbms-schedule+xml,IANA,,https://www.iana.org/assignments/media-types/application/mbms-schedule+xml
application/mbms-user-service-description+xml,application/mbms-user-service-description+xml,IANA,,https://www.iana.org/assignments/media-types/application/mbms-user-service-description+xml
application/mbox,application/mbox,IANA,,https://www.iana.org/assignments/media-types/application/mbox
application/media-policy-dataset+xml,application/media-policy-dataset+xml,IANA,,https://www.iana.org/assignments/media-types/application/media-policy-dataset+xml
application/media_control+xml,application/media_control+xml,IANA,,https://www.iana.org/assignments/media-types/application/media_control+xml
application/mediaservercontrol+xml,application/mediaservercontrol+xml,IANA,,https://www.iana.org/assignments/media-types/application/mediaservercontrol+xml
application/merge-patch+json,application/merge-patch+json,IANA,,https://www.iana.org/assignments/media-types/application/merge-patch+json
application/metalink4+xml,application/metalink4+xml,IANA,,https://www.iana.org/assignments/media-types/application/metalink4+xml
application/mets+xml,application/mets+xml,IANA,,https://www.iana.org/assignments/media-types/application/mets+xml
application/mikey,application/mikey,IANA,,https://www.iana.org/assignments/media-types/application/mikey
application/mipc,application/mipc,IANA,,https://www.iana.org/assignments/media-types/application/mipc
application/missing-blocks+cbor-seq,application/missing-blocks+cbor-seq,IANA,,https://www.iana.org/assignments/media-types/application/missing-blocks+cbor-seq
application/mmt-aei+xml,application/mmt-aei+xml,IANA,,https://www.iana.org/assignments/media-types/application/mmt-aei+xml
application/mmt-usd+xml,application/mmt-usd+xml,IANA,,https://www.iana.org/assignments/media-types/application/mmt-usd+xml
application/mods+xml,application/mods+xml,IANA,,https://www.iana.org/assignments/media-types/application/mods+xml
application/moss-keys,application/moss-keys,IANA,,https://www.iana.org/assignments/media-types/application/moss-keys
