order,name,ontologyTermURI,parent
17,Perforated ulcer,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023285,Ulcers NEC
18,Secretion discharge,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023286,General signs and symptoms NEC
19,Premature ageing,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023287,General signs and symptoms NEC
20,Pseudocyst,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023288,General signs and symptoms NEC
21,Temperature intolerance,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023289,Feelings and sensations NEC
22,Multiple chemical sensitivity,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023290,Idiopathic environmental intolerance
23,Adhesion,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023291,General signs and symptoms NEC
24,Swelling,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023292,General signs and symptoms NEC
25,Local swelling,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023293,Swelling
26,Multimorbidity,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023294,General signs and symptoms NEC
27,Meteoropathy,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023295,General signs and symptoms NEC
28,Hernia,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023296,Hernias NEC
29,Inflammation,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023297,Inflammations
30,Soft tissue inflammation,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023298,Inflammations
31,Diapedesis,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023299,Inflammations
32,Vestibulitis,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023300,Infections NEC
33,Hernia obstructive,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023301,Hernias NEC
34,Papillitis,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023302,Inflammations
35,Acute phase reaction,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023303,Inflammations
36,Inflammation of wound,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023304,Non-site specific injuries NEC
37,Pseudopolyp,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023305,Inflammations
38,Polyserositis,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023306,Inflammations
39,Mucosal dryness,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023307,Mucosal findings abnormal
40,Mucosal inflammation,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023308,Mucosal findings abnormal
41,Oedema mucosal,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023309,Mucosal findings abnormal
42,Mucosa vesicle,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023310,Bullous conditions
43,Mucosal discolouration,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023311,Mucosal findings abnormal
44,Mucosal hyperaemia,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023312,Mucosal findings abnormal
45,Gravitational oedema,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023313,Heart failure signs and symptoms
46,Pain,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023314,Pain and discomfort NEC
47,Inflammatory pain,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023315,Pain and discomfort NEC
48,Hernia pain,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023316,Pain and discomfort NEC
49,Discomfort,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023317,Pain and discomfort NEC
50,Breakthrough pain,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023318,Oncologic complications and emergencies
51,Death neonatal,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023319,Death and sudden death
52,Euthanasia,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023320,Therapeutic procedures NEC
53,Serositis,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023321,Inflammations
54,Enanthema,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023322,Mucosal findings abnormal
55,Mucosal erosion,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023323,Mucosal findings abnormal
56,Mucosal membrane hyperplasia,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023324,Mucosal findings abnormal
57,Mucosal ulceration,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023325,Mucosal findings abnormal
58,Mucous membrane disorder,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023326,Mucosal disorder
59,Mucosal exfoliation,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023327,Mucosal findings abnormal
60,Mucosal induration,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023328,Mucosal findings abnormal
61,Pitting oedema,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023329,Oedema
62,Oedema due to hepatic disease,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023330,Oedema NEC
63,Allergic oedema,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023331,Oedema NEC
64,Oedema neonatal,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023332,Oedema NEC
65,Gestational oedema,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023333,Oedema NEC
66,Tenderness,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023334,Pain and discomfort NEC
67,Axillary pain,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023335,Pain and discomfort NEC
68,Suprapubic pain,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023336,Pain and discomfort NEC
69,Pseudoangina,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023337,Pain and discomfort NEC
70,Facial pain,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023338,Pain and discomfort NEC
71,Death,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023339,Death and sudden death
72,Agonal death struggle,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023340,Death and sudden death
73,Intra-uterine death,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023341,Foetal death
74,Maternal death affecting foetus,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023342,Foetal conditions due to maternal conditions
75,Sudden infant death syndrome,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023343,Death and sudden death
76,Accidental death,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023344,Non-site specific injuries NEC
77,Stillbirth,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023345,Death and sudden death
78,Maternal death during childbirth,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023346,Maternal death
79,Drug interaction inhibition,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023347,Inhibitory drug interaction
80,Drug interaction potentiation,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023348,Potentiating drug interaction
81,Drug chemical incompatibility,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023349,Interactions
82,Drug therapeutic incompatibility,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023350,Interactions
83,Drug effect increased,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023351,Therapeutic product effect increased
84,Drug ineffective,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023352,Therapeutic and nontherapeutic responses
85,Drug withdrawal syndrome,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023353,Withdrawal and rebound effects
86,Inadequate analgesia,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023354,Therapeutic and nontherapeutic responses
87,Reversal of opiate activity,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023355,Therapeutic procedures NEC
88,Therapeutic response decreased,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023356,Therapeutic and nontherapeutic responses
89,Therapeutic response prolonged,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023357,Therapeutic and nontherapeutic responses
90,Drug intolerance,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023358,Therapeutic and nontherapeutic responses
91,Dapsone syndrome,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023359,Drug reaction with eosinophilia and systemic symptoms
92,Adverse event,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023360,Therapeutic and nontherapeutic responses
93,Alcohol interaction,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023361,Interactions
94,Drug interaction,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023362,Interactions
95,Food interaction,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023363,Interactions
96,Drug physiologic incompatibility,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023364,Interactions
97,Drug effect decreased,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023365,Therapeutic product effect decreased
98,Drug effect prolonged,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023366,Therapeutic product effect prolonged
99,Drug hypersensitivity,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023367,"Allergies to foods, food additives, drugs and other chemicals"
100,Drug withdrawal syndrome neonatal,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023368,Neonatal complications of maternal substance abuse
101,Rebound effect,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023369,Withdrawal and rebound effects
102,Tachyphylaxis,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023370,Therapeutic and nontherapeutic responses
103,Therapeutic response increased,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023371,Therapeutic and nontherapeutic responses
104,Therapeutic response unexpected,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023372,Therapeutic and nontherapeutic responses
105,Multiple-drug resistance,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023373,Therapeutic and nontherapeutic responses
106,Renin-angiotensin system inhibition,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023374,Therapeutic and nontherapeutic responses
107,Negative cardiac inotropic effect,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023375,Cardiac signs and symptoms NEC
108,Therapeutic reaction time decreased,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023376,Therapeutic and nontherapeutic responses
109,Therapy responder,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023377,Therapeutic and nontherapeutic responses
110,Paradoxical drug reaction,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023378,Therapeutic and nontherapeutic responses
111,Pharmaceutical product complaint,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023379,Product complaint
112,Adverse drug reaction,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023380,Therapeutic and nontherapeutic responses
113,Idiosyncratic drug reaction,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023381,Therapeutic and nontherapeutic responses
114,Platelet aggregation inhibition,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023382,Platelet disorders NEC
115,Drug ineffective for unapproved indication,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023383,Therapeutic and nontherapeutic responses
116,Therapy naive,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023384,Therapeutic and nontherapeutic responses
117,No reaction on previous exposure to drug,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023385,Therapeutic and nontherapeutic responses
118,Diuretic effect,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023386,Polyuria
119,Drug tolerance,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023387,Therapeutic and nontherapeutic responses
120,Drug tolerance increased,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023388,Therapeutic and nontherapeutic responses
121,Vaccination failure,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023389,Therapeutic and nontherapeutic responses
122,Therapeutic product ineffective,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023390,Therapeutic and nontherapeutic responses
123,Positive cardiac inotropic effect,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023391,Cardiac signs and symptoms NEC
124,Similar reaction on previous exposure to drug,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023392,Therapeutic and nontherapeutic responses
125,Reactogenicity event,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023393,Immunisation reaction
126,Treatment failure,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023394,Therapeutic and nontherapeutic responses
127,Vaccine positive rechallenge,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023395,Therapeutic and nontherapeutic responses
128,Abortion complete complicated,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023396,Abortions not specified as induced or spontaneous
129,Abortion complicated,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023397,Abortions not specified as induced or spontaneous
130,Abortion incomplete,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023398,Abortions not specified as induced or spontaneous
131,Abortion early,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023399,Abortions not specified as induced or spontaneous
132,Abortion missed,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023400,Abortions not specified as induced or spontaneous
133,Analgesic effect,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023401,Analgesic therapy
134,Drug tolerance decreased,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023402,Therapeutic and nontherapeutic responses
135,Therapeutic response delayed,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023403,Therapeutic and nontherapeutic responses
136,Mazzotti reaction,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023404,Dermatitis ascribed to specific agent
137,Tobacco withdrawal symptoms,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023405,Withdrawal and rebound effects
138,Drug resistance,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023406,Therapeutic and nontherapeutic responses
139,Therapeutic product ineffective for unapproved indication,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023407,Therapeutic and nontherapeutic responses
140,No therapeutic response,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023408,Therapy non-responder
141,Therapeutic response unexpected with drug substitution,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023409,Therapeutic response unexpected
142,Therapeutic product contamination,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023410,Product contamination
143,Surgical failure,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023411,Therapeutic and nontherapeutic responses
144,Reaction to previous exposure to any vaccine,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023412,Vaccination related complications
145,Immediate post-injection reaction,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023413,Therapeutic and nontherapeutic responses
146,Abortion complete,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023414,Abortions not specified as induced or spontaneous
147,Abortion incomplete complicated,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023415,Abortions not specified as induced or spontaneous
148,Abortion,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023416,Abortions not specified as induced or spontaneous
149,Abortion late,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023417,Abortions not specified as induced or spontaneous
150,Abortion of ectopic pregnancy,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023418,Abortions not specified as induced or spontaneous
151,Blighted ovum,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023419,Anembryonic gestation
152,Abortion spontaneous complete complicated,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023420,Abortions spontaneous
153,Abnormal product of conception,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023421,Abortion related conditions and complications
154,Post abortion complication,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023422,Abortion related conditions and complications
155,Abortion spontaneous complete,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023423,Abortions spontaneous
156,Abortion spontaneous incomplete complicated,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023424,Abortions spontaneous
157,Abortion spontaneous,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023425,Abortions spontaneous
158,Habitual abortion,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023426,Abortions spontaneous
159,Molar abortion,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023427,Abortions spontaneous
160,Normal labour,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023428,"Normal pregnancy, labour and delivery"
161,Postpartum state,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023429,"Normal pregnancy, labour and delivery"
162,Live birth,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023430,"Normal pregnancy, labour and delivery"
163,Second trimester pregnancy,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023431,"Normal pregnancy, labour and delivery"
164,Uterine contractions during pregnancy,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023432,"Normal pregnancy, labour and delivery"
165,Multiple pregnancy,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023433,Multiple pregnancies
166,Pregnancy on oral contraceptive,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023434,Unintended pregnancies
167,Unintended pregnancy,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023435,Unintended pregnancies
168,Pregnancy with injectable contraceptive,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023436,Unintended pregnancies
169,Pregnancy after post coital contraception,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023437,Unintended pregnancies
170,Normal newborn,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023438,Normal newborn status
171,Elderly primigravida,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023439,High risk pregnancies
172,Pregnancy with advanced maternal age,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023440,High risk pregnancies
173,Abortion spontaneous complicated,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023441,Abortions spontaneous
174,Abortion spontaneous incomplete,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023442,Abortions spontaneous
175,Abortion threatened,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023443,Abortions spontaneous
176,Imminent abortion,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023444,Abortions spontaneous
177,Normal delivery,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023445,Delivery
178,Pregnancy,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023446,"Normal pregnancy, labour and delivery"
179,Normal foetus,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023447,"Normal pregnancy, labour and delivery"
180,First trimester pregnancy,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023448,"Normal pregnancy, labour and delivery"
181,Third trimester pregnancy,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023449,"Normal pregnancy, labour and delivery"
182,Labour pain,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023450,"Normal pregnancy, labour and delivery"
183,Twin pregnancy,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023451,Multiple pregnancies
184,Pregnancy with contraceptive device,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023452,Unintended pregnancies
185,Unwanted pregnancy,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023453,Unintended pregnancies
186,Pregnancy with implant contraceptive,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023454,Reproductive complications associated with device
187,Pregnancy with contraceptive patch,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023455,Reproductive complications associated with device
188,Breast engorgement in newborn,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023456,Normal newborn status
189,Pregnancy in habitual aborter,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023457,High risk pregnancies
190,Previous caesarean section,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023458,High risk pregnancies
191,Uterine inversion,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023459,High risk pregnancies
192,Uterine malposition,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023460,High risk pregnancies
193,High risk pregnancy,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023461,High risk pregnancies
194,Face presentation,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023462,Foetal position and presentation abnormalities
195,Foetal malposition,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023463,Foetal position and presentation abnormalities
196,Locked twins,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023464,Foetal position and presentation abnormalities
197,Transverse presentation,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023465,Foetal position and presentation abnormalities
198,Brow presentation,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023466,Foetal position and presentation abnormalities
199,Foetal malpresentation,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023467,Foetal position and presentation abnormalities
200,Foetal malnutrition,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023468,Foetal growth complications
201,Foetal damage,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023469,Foetal complications NEC
202,Foetal movements decreased,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023470,Foetal hypokinesia
203,Foetal disorder,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023471,Foetal complications NEC
204,Hydrops foetalis,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023472,Foetal complications NEC
205,Maternal condition affecting foetus,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023473,Foetal conditions due to maternal conditions
206,Delayed delivery,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023474,Labour onset and length abnormalities
207,Labour onset delayed,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023475,Prolonged pregnancy
208,Precipitate labour,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023476,Labour onset and length abnormalities
209,Premature rupture of membranes,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023477,Labour onset and length abnormalities
210,Threatened labour,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023478,Labour onset and length abnormalities
211,Failed induction of labour,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023479,Failed labour
212,False labour,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023480,Failed labour
213,Breech presentation,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023481,Foetal position and presentation abnormalities
214,Foetal arm prolapse,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023482,Foetal position and presentation abnormalities
215,High foetal head,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023483,Foetal position and presentation abnormalities
216,Shoulder dystocia,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023484,Foetal position and presentation abnormalities
217,Unstable foetal lie,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023485,Foetal position and presentation abnormalities
218,Oblique presentation,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023486,Foetal position and presentation abnormalities
219,Foetal growth retardation,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023487,Foetal growth restriction
220,Foetal macrosomia,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023488,Foetal growth complications
221,Foetal distress syndrome,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023489,Foetal complications NEC
222,Haemorrhage foetal,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023490,Haemorrhages NEC
223,Foetal acidosis,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023491,Foetal complications NEC
224,Abnormal labour affecting foetus,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023492,Foetal conditions due to maternal conditions
225,Foetal tobacco exposure,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023493,Foetal exposure during pregnancy
226,"Drug dependence, antepartum",https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023494,Foetal conditions due to maternal conditions
227,Induced labour,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023495,Labour onset and length abnormalities
228,Obstructed labour,https://spor.ema.europa.eu/rmswi/#/lists/100000000006/terms/100000023496,Labour onset and length abnormalities
