name,tags,codesystem,code,ontologyTermURI,definition
Myelodysplastic Syndrome Clone,,NCIT,C130199,http://purl.obolibrary.org/obo/NCIT_C130199,Myelodysplastic Syndrome Clone
Cell Clone,,NCIT,C16441,http://purl.obolibrary.org/obo/NCIT_C16441,Cell Clone
Fixed Block,,NCIT,C25436,http://purl.obolibrary.org/obo/NCIT_C25436,Fixed Block
Formalin-Fixed Paraffin-Embedded DNA,,NCIT,C156435,http://purl.obolibrary.org/obo/NCIT_C156435,Formalin-Fixed Paraffin-Embedded DNA
Formalin-Fixed Paraffin-Embedded RNA,,NCIT,C156436,http://purl.obolibrary.org/obo/NCIT_C156436,Formalin-Fixed Paraffin-Embedded RNA
REPLI-g Pooled DNA,,NCIT,C156437,http://purl.obolibrary.org/obo/NCIT_C156437,REPLI-g Pooled DNA
REPLI-g X DNA,,NCIT,C156439,http://purl.obolibrary.org/obo/NCIT_C156439,REPLI-g X DNA
Metastatic Tumor Sample,,NCIT,C156440,http://purl.obolibrary.org/obo/NCIT_C156440,Metastatic Tumor Sample
Sample Derived from New Primary,,NCIT,C156441,http://purl.obolibrary.org/obo/NCIT_C156441,Sample Derived from New Primary
Cell Line-Derived Xenograft,,NCIT,C156443,http://purl.obolibrary.org/obo/NCIT_C156443,Cell Line-Derived Xenograft
Post Neoadjuvant Therapy Sample,,NCIT,C156444,http://purl.obolibrary.org/obo/NCIT_C156444,Post Neoadjuvant Therapy Sample
Derived Cell Line,,NCIT,C156445,http://purl.obolibrary.org/obo/NCIT_C156445,Derived Cell Line
Discharge Body Fluid,,NCIT,C142366,http://purl.obolibrary.org/obo/NCIT_C142366,Discharge Body Fluid
Hybrid Selected Genomic Library,,NCIT,C163986,http://purl.obolibrary.org/obo/NCIT_C163986,Hybrid Selected Genomic Library
Affinity Enriched Genomic Library,,NCIT,C163987,http://purl.obolibrary.org/obo/NCIT_C163987,Affinity Enriched Genomic Library
Poly-T Enriched Genomic Library,,NCIT,C163988,http://purl.obolibrary.org/obo/NCIT_C163988,Poly-T Enriched Genomic Library
Randomly Selected Genomic Library,,NCIT,C163989,http://purl.obolibrary.org/obo/NCIT_C163989,Randomly Selected Genomic Library
rRNA Depleted Genomic Library,,NCIT,C163990,http://purl.obolibrary.org/obo/NCIT_C163990,rRNA Depleted Genomic Library
miRNA Size Fractionated Genomic Library,,NCIT,C163991,http://purl.obolibrary.org/obo/NCIT_C163991,miRNA Size Fractionated Genomic Library
EBV Immortalized Lymphocytes,,NCIT,C163993,http://purl.obolibrary.org/obo/NCIT_C163993,EBV Immortalized Lymphocytes
Total RNA,,NCIT,C163995,http://purl.obolibrary.org/obo/NCIT_C163995,Total RNA
Bone Marrow-Derived Fibroblasts,,NCIT,C164010,http://purl.obolibrary.org/obo/NCIT_C164010,Bone Marrow-Derived Fibroblasts
Bone Marrow-Derived Mononuclear Cells,,NCIT,C164011,http://purl.obolibrary.org/obo/NCIT_C164011,Bone Marrow-Derived Mononuclear Cells
Solid Tissue Specimen,,NCIT,C164014,http://purl.obolibrary.org/obo/NCIT_C164014,Solid Tissue Specimen
Blood Cancer-Derived Bone Marrow Specimen,,NCIT,C164015,http://purl.obolibrary.org/obo/NCIT_C164015,Blood Cancer-Derived Bone Marrow Specimen
"Blood Cancer-Derived Bone Marrow Specimen, Post-Treatment",,NCIT,C164017,http://purl.obolibrary.org/obo/NCIT_C164017,"Blood Cancer-Derived Bone Marrow Specimen, Post-Treatment"
Blood Cancer-Derived Blood Specimen,,NCIT,C164030,http://purl.obolibrary.org/obo/NCIT_C164030,Blood Cancer-Derived Blood Specimen
"Blood Cancer-Derived Blood Specimen, Post-Treatment",,NCIT,C164031,http://purl.obolibrary.org/obo/NCIT_C164031,"Blood Cancer-Derived Blood Specimen, Post-Treatment"
Tumor-Adjacent Normal Specimen,,NCIT,C164032,http://purl.obolibrary.org/obo/NCIT_C164032,Tumor-Adjacent Normal Specimen
Tumor-Adjacent Normal Post Neoadjuvant Therapy Sample,,NCIT,C164033,http://purl.obolibrary.org/obo/NCIT_C164033,Tumor-Adjacent Normal Post Neoadjuvant Therapy Sample
Specimen Collection Group,,NCIT,C164425,http://purl.obolibrary.org/obo/NCIT_C164425,Specimen Collection Group
Parent Biospecimen,,NCIT,C175532,http://purl.obolibrary.org/obo/NCIT_C175532,Parent Biospecimen
Cytoplasmic Fraction,,NCIT,C175572,http://purl.obolibrary.org/obo/NCIT_C175572,Cytoplasmic Fraction
Mitochondrial and Nuclear Fraction,,NCIT,C175573,http://purl.obolibrary.org/obo/NCIT_C175573,Mitochondrial and Nuclear Fraction
Arterialized Capillary Blood,,NCIT,C176369,http://purl.obolibrary.org/obo/NCIT_C176369,Arterialized Capillary Blood
Tumor Segment,,NCIT,C162622,http://purl.obolibrary.org/obo/NCIT_C162622,Tumor Segment
Normal Tissue Segment,,NCIT,C162623,http://purl.obolibrary.org/obo/NCIT_C162623,Normal Tissue Segment
Environmental DNA,,NCIT,C169106,http://purl.obolibrary.org/obo/NCIT_C169106,Environmental DNA
Serum or Plasma or Blood,,NCIT,C170628,http://purl.obolibrary.org/obo/NCIT_C170628,Serum or Plasma or Blood
Nucleic Acid Aliquot,,NCIT,C171176,http://purl.obolibrary.org/obo/NCIT_C171176,Nucleic Acid Aliquot
Endotracheal Fluid,,NCIT,C171504,http://purl.obolibrary.org/obo/NCIT_C171504,Endotracheal Fluid
Conditionally Reprogrammed Cells,,NCIT,C172257,http://purl.obolibrary.org/obo/NCIT_C172257,Conditionally Reprogrammed Cells
Modified Conditionally Reprogrammed Cells,,NCIT,C172258,http://purl.obolibrary.org/obo/NCIT_C172258,Modified Conditionally Reprogrammed Cells
Organoid,,NCIT,C172259,http://purl.obolibrary.org/obo/NCIT_C172259,Organoid
Air-Liquid Interface Organoid,,NCIT,C172260,http://purl.obolibrary.org/obo/NCIT_C172260,Air-Liquid Interface Organoid
Neurosphere,,NCIT,C172261,http://purl.obolibrary.org/obo/NCIT_C172261,Neurosphere
Buccal Cell Sample,,NCIT,C172264,http://purl.obolibrary.org/obo/NCIT_C172264,Buccal Cell Sample
Formalin-Fixed Paraffin-Embedded Tissue Sample,,NCIT,C172265,http://purl.obolibrary.org/obo/NCIT_C172265,Formalin-Fixed Paraffin-Embedded Tissue Sample
Formalin-Fixed Paraffin-Embedded Tissue Sample from Recurrent Disease,,NCIT,C172267,http://purl.obolibrary.org/obo/NCIT_C172267,Formalin-Fixed Paraffin-Embedded Tissue Sample from Recurrent Disease
Formalin-Fixed Paraffin-Embedded Tissue Scroll,,NCIT,C172268,http://purl.obolibrary.org/obo/NCIT_C172268,Formalin-Fixed Paraffin-Embedded Tissue Scroll
Original Tumor Cell Sample,,NCIT,C172293,http://purl.obolibrary.org/obo/NCIT_C172293,Original Tumor Cell Sample
Human Fetal Tissue,,NCIT,C18841,http://purl.obolibrary.org/obo/NCIT_C18841,Human Fetal Tissue
Invertebrate Tissue and Cells,,NCIT,C18859,http://purl.obolibrary.org/obo/NCIT_C18859,Invertebrate Tissue and Cells
"Plant Tissue, Cells",,NCIT,C18945,http://purl.obolibrary.org/obo/NCIT_C18945,"Plant Tissue, Cells"
Fresh Tissue,,NCIT,C19066,http://purl.obolibrary.org/obo/NCIT_C19066,Fresh Tissue
Cryopreserved Tissue,,NCIT,C19313,http://purl.obolibrary.org/obo/NCIT_C19313,Cryopreserved Tissue
Cryopreserved Cell,,NCIT,C19314,http://purl.obolibrary.org/obo/NCIT_C19314,Cryopreserved Cell
HL60,,NCIT,C19433,http://purl.obolibrary.org/obo/NCIT_C19433,HL60
K-562,,NCIT,C19437,http://purl.obolibrary.org/obo/NCIT_C19437,K-562
YAC Clone,,NCIT,C1944,http://purl.obolibrary.org/obo/NCIT_C1944,YAC Clone
Rat-1,,NCIT,C19584,http://purl.obolibrary.org/obo/NCIT_C19584,Rat-1
Paraffin Embedded Tissue,,NCIT,C19597,http://purl.obolibrary.org/obo/NCIT_C19597,Paraffin Embedded Tissue
Nuclear Extract,,NCIT,C19832,http://purl.obolibrary.org/obo/NCIT_C19832,Nuclear Extract
Human Cell Line,,NCIT,C20218,http://purl.obolibrary.org/obo/NCIT_C20218,Human Cell Line
HeLa,,NCIT,C20226,http://purl.obolibrary.org/obo/NCIT_C20226,HeLa
HeLa S3,,NCIT,C20227,http://purl.obolibrary.org/obo/NCIT_C20227,HeLa S3
HeLa/SF,,NCIT,C20228,http://purl.obolibrary.org/obo/NCIT_C20228,HeLa/SF
HL-60/MX2,,NCIT,C20229,http://purl.obolibrary.org/obo/NCIT_C20229,HL-60/MX2
HL-60/MX1,,NCIT,C20230,http://purl.obolibrary.org/obo/NCIT_C20230,HL-60/MX1
EG Cell Line,,NCIT,C20231,http://purl.obolibrary.org/obo/NCIT_C20231,EG Cell Line
ES Cell Line,,NCIT,C20232,http://purl.obolibrary.org/obo/NCIT_C20232,ES Cell Line
BG01,,NCIT,C20233,http://purl.obolibrary.org/obo/NCIT_C20233,BG01
BG02,,NCIT,C20234,http://purl.obolibrary.org/obo/NCIT_C20234,BG02
BG03,,NCIT,C20235,http://purl.obolibrary.org/obo/NCIT_C20235,BG03
BG04,,NCIT,C20236,http://purl.obolibrary.org/obo/NCIT_C20236,BG04
CY12,,NCIT,C20237,http://purl.obolibrary.org/obo/NCIT_C20237,CY12
CY30,,NCIT,C20238,http://purl.obolibrary.org/obo/NCIT_C20238,CY30
CY40,,NCIT,C20239,http://purl.obolibrary.org/obo/NCIT_C20239,CY40
CY51,,NCIT,C20240,http://purl.obolibrary.org/obo/NCIT_C20240,CY51
CY81,,NCIT,C20241,http://purl.obolibrary.org/obo/NCIT_C20241,CY81
CY82,,NCIT,C20242,http://purl.obolibrary.org/obo/NCIT_C20242,CY82
CY91,,NCIT,C20243,http://purl.obolibrary.org/obo/NCIT_C20243,CY91
CY92,,NCIT,C20244,http://purl.obolibrary.org/obo/NCIT_C20244,CY92
CY10,,NCIT,C20245,http://purl.obolibrary.org/obo/NCIT_C20245,CY10
CyThera ES Cell Line,,NCIT,C20246,http://purl.obolibrary.org/obo/NCIT_C20246,CyThera ES Cell Line
BresaGen ES Cell Line,,NCIT,C20247,http://purl.obolibrary.org/obo/NCIT_C20247,BresaGen ES Cell Line
ES ES Cell Line,,NCIT,C20248,http://purl.obolibrary.org/obo/NCIT_C20248,ES ES Cell Line
ES01,,NCIT,C20249,http://purl.obolibrary.org/obo/NCIT_C20249,ES01
ES02,,NCIT,C20250,http://purl.obolibrary.org/obo/NCIT_C20250,ES02
ES03,,NCIT,C20251,http://purl.obolibrary.org/obo/NCIT_C20251,ES03
ES04,,NCIT,C20252,http://purl.obolibrary.org/obo/NCIT_C20252,ES04
ES05,,NCIT,C20253,http://purl.obolibrary.org/obo/NCIT_C20253,ES05
ES06,,NCIT,C20254,http://purl.obolibrary.org/obo/NCIT_C20254,ES06
Geron ES Cell Line,,NCIT,C20255,http://purl.obolibrary.org/obo/NCIT_C20255,Geron ES Cell Line
GE01,,NCIT,C20256,http://purl.obolibrary.org/obo/NCIT_C20256,GE01
GE07,,NCIT,C20257,http://purl.obolibrary.org/obo/NCIT_C20257,GE07
GE09,,NCIT,C20258,http://purl.obolibrary.org/obo/NCIT_C20258,GE09
GE13,,NCIT,C20259,http://purl.obolibrary.org/obo/NCIT_C20259,GE13
GE14,,NCIT,C20260,http://purl.obolibrary.org/obo/NCIT_C20260,GE14
GE91,,NCIT,C20261,http://purl.obolibrary.org/obo/NCIT_C20261,GE91
GE92,,NCIT,C20262,http://purl.obolibrary.org/obo/NCIT_C20262,GE92
Goteborg ES Cell Line,,NCIT,C20263,http://purl.obolibrary.org/obo/NCIT_C20263,Goteborg ES Cell Line
SA01,,NCIT,C20264,http://purl.obolibrary.org/obo/NCIT_C20264,SA01
SA02,,NCIT,C20265,http://purl.obolibrary.org/obo/NCIT_C20265,SA02
SA03,,NCIT,C20266,http://purl.obolibrary.org/obo/NCIT_C20266,SA03
Karolinska ES Cell Line,,NCIT,C20267,http://purl.obolibrary.org/obo/NCIT_C20267,Karolinska ES Cell Line
KA08,,NCIT,C20268,http://purl.obolibrary.org/obo/NCIT_C20268,KA08
KA09,,NCIT,C20269,http://purl.obolibrary.org/obo/NCIT_C20269,KA09
KA40,,NCIT,C20270,http://purl.obolibrary.org/obo/NCIT_C20270,KA40
KA41,,NCIT,C20271,http://purl.obolibrary.org/obo/NCIT_C20271,KA41
KA42,,NCIT,C20272,http://purl.obolibrary.org/obo/NCIT_C20272,KA42
KA43,,NCIT,C20273,http://purl.obolibrary.org/obo/NCIT_C20273,KA43
Maria ES Cell Line,,NCIT,C20274,http://purl.obolibrary.org/obo/NCIT_C20274,Maria ES Cell Line
MB01,,NCIT,C20275,http://purl.obolibrary.org/obo/NCIT_C20275,MB01
MB02,,NCIT,C20276,http://purl.obolibrary.org/obo/NCIT_C20276,MB02
MB03,,NCIT,C20277,http://purl.obolibrary.org/obo/NCIT_C20277,MB03
MizMedi ES Cell Line,,NCIT,C20278,http://purl.obolibrary.org/obo/NCIT_C20278,MizMedi ES Cell Line
MI01,,NCIT,C20279,http://purl.obolibrary.org/obo/NCIT_C20279,MI01
