codesystem,code,name,label
ICD-O-3,C75.8,Overlapping lesion of endocrine glands and related structures,Overlapping lesion of endocrine glands and related structures
ICD-O-3,C75.9,"Endocrine gland, NOS","Endocrine gland, NOS"
ICD-O-3,C76,OTHER AND ILL-DEFINED SITES,OTHER AND ILL-DEFINED SITES
ICD-O-3,C76.0,"Head, face or neck, NOS","Head, face or neck, NOS"
ICD-O-3,C76.1,"Thorax, NOS","Thorax, NOS"
ICD-O-3,C76.2,"Abdomen, NOS","Abdomen, NOS"
ICD-O-3,C76.3,"Pelvis, NOS","Pelvis, NOS"
ICD-O-3,C76.4,"Upper limb, NOS","Upper limb, NOS"
ICD-O-3,C76.5,"Lower limb, NOS","Lower limb, NOS"
ICD-O-3,C76.7,Other ill-defined sites,Other ill-defined sites
ICD-O-3,C76.8,Overlapping lesion of ill-defined sites,Overlapping lesion of ill-defined sites
ICD-O-3,C77,LYMPH NODES,LYMPH NODES
ICD-O-3,C77.0,"Lymph nodes of head, face and neck","Lymph nodes of head, face and neck"
ICD-O-3,C77.1,Intrathoracic lymph nodes,Intrathoracic lymph nodes
ICD-O-3,C77.2,Intra-abdominal lymph nodes,Intra-abdominal lymph nodes
ICD-O-3,C77.3,Lymph nodes of axilla or arm,Lymph nodes of axilla or arm
ICD-O-3,C77.4,Lymph nodes of inguinal region or leg,Lymph nodes of inguinal region or leg
ICD-O-3,C77.5,Pelvic lymph nodes,Pelvic lymph nodes
ICD-O-3,C77.8,Lymph nodes of multiple regions,Lymph nodes of multiple regions
ICD-O-3,C77.9,"Lymph node, NOS","Lymph node, NOS"
ICD-O-3,C80,UNKNOWN PRIMARY SITE,UNKNOWN PRIMARY SITE
ICD-O-3,C80.9,Unknown primary site,Unknown primary site
