id,location name,primary group value,country,latitude,longitude,website,tooltip content,sort order,displayed in chart
Q1585508,Biljoen Castle,castle,Netherlands,51.99667,5.992500000000001,https://thecastlemap.com/castles/biljoen-castle/,"<div class=""tooltip""><span class=""location-name"">Biljoen Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1076.0</span><span class=""century"">11th century</span><span class=""website"">https://thecastlemap.com/castles/biljoen-castle/</span></div>",29,demo-map-dot-distribution
Q1630851,Château Neercanne,palace,Netherlands,50.81861000000001,5.6675,https://thecastlemap.com/castles/chateau-neercanne/,"<div class=""tooltip""><span class=""location-name"">Château Neercanne</span><span class=""primary-group-value"">palace</span><span class=""country"">Netherlands</span><span class=""year"">1650.0</span><span class=""century"">17th century</span><span class=""website"">https://thecastlemap.com/castles/chateau-neercanne/</span></div>",30,demo-map-dot-distribution
Q1645763,House Bloemendal,palace,Netherlands,50.77306,6.013610000000001,https://thecastlemap.com/castles/house-bloemendal/,"<div class=""tooltip""><span class=""location-name"">House Bloemendal</span><span class=""primary-group-value"">palace</span><span class=""country"">Netherlands</span><span class=""website"">https://thecastlemap.com/castles/house-bloemendal/</span></div>",31,demo-map-dot-distribution
Q1669881,Neuborg Castle,castle,Netherlands,50.808060000000005,5.88222,https://thecastlemap.com/castles/neuborg-castle/,"<div class=""tooltip""><span class=""location-name"">Neuborg Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""website"">https://thecastlemap.com/castles/neuborg-castle/</span></div>",32,demo-map-dot-distribution
Q1682058,Marquette Castle,palace,Netherlands,52.52094,4.667800000000001,https://thecastlemap.com/castles/marquette-castle/,"<div class=""tooltip""><span class=""location-name"">Marquette Castle</span><span class=""primary-group-value"">palace</span><span class=""country"">Netherlands</span><span class=""year"">1250.0</span><span class=""century"">13th century</span><span class=""website"">https://thecastlemap.com/castles/marquette-castle/</span></div>",33,demo-map-dot-distribution
Q1699841,Strijthagen Castle,castle,Netherlands,50.88472,6.032780000000001,https://thecastlemap.com/castles/strijthagen-castle/,"<div class=""tooltip""><span class=""location-name"">Strijthagen Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1750.0</span><span class=""century"">18th century</span><span class=""website"">https://thecastlemap.com/castles/strijthagen-castle/</span></div>",34,demo-map-dot-distribution
Q1735304,Elsloo Castle,castle,Netherlands,50.947500000000005,5.7575,https://thecastlemap.com/castles/elsloo-castle/,"<div class=""tooltip""><span class=""location-name"">Elsloo Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""website"">https://thecastlemap.com/castles/elsloo-castle/</span></div>",35,demo-map-dot-distribution
Q1735305,Cortenbach Castle,castle,Netherlands,50.884730000000005,5.93442,https://thecastlemap.com/castles/cortenbach-castle/,"<div class=""tooltip""><span class=""location-name"">Cortenbach Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1350.0</span><span class=""century"">14th century</span><span class=""website"">https://thecastlemap.com/castles/cortenbach-castle/</span></div>",36,demo-map-dot-distribution
Q1735307,Erenstein Castle,castle,Netherlands,50.871390000000005,6.0547200000000005,https://thecastlemap.com/castles/erenstein-castle/,"<div class=""tooltip""><span class=""location-name"">Erenstein Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1250.0</span><span class=""century"">13th century</span><span class=""website"">https://thecastlemap.com/castles/erenstein-castle/</span></div>",37,demo-map-dot-distribution
Q1735318,Castle de Haar,castle,Netherlands,52.121430000000004,4.986350000000001,https://thecastlemap.com/castles/castle-de-haar/,"<div class=""tooltip""><span class=""location-name"">Castle de Haar</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1391.0</span><span class=""century"">14th century</span><span class=""website"">https://thecastlemap.com/castles/castle-de-haar/</span></div>",38,demo-map-dot-distribution
