"classid","label","synonyms"
"http://who.int/icf#b455","b455. Exercise tolerance functions","Exercise tolerance functions"
"http://who.int/icf#b7304","b7304. Power of muscles of all limbs","Power of muscles of all limbs"
"http://who.int/icf#b7303","b7303. Power of muscles in lower half of the body","Power of muscles in lower half of the body"
"http://who.int/icf#b7306","b7306. Power of all muscles of the body","Power of all muscles of the body"
"http://who.int/icf#b210","b210. Seeing functions","Seeing functions"
"http://who.int/icf#b7305","b7305. Power of muscles of the trunk","Power of muscles of the trunk"
"http://who.int/icf#d879","d879. Economic life, other specified and unspecified","Economic life, other specified and unspecified"
"http://who.int/icf#b7308","b7308. Muscle power functions, other specified","Muscle power functions, other specified"
"http://who.int/icf#d630","d630. Preparing meals","Preparing meals"
"http://who.int/icf#b215","b215. Functions of structures adjoining the eye","Functions of structures adjoining the eye"
"http://who.int/icf#b699","b699. Genitourinary and reproductive functions, unspecified","Genitourinary and reproductive functions, unspecified"
"http://who.int/icf#b698","b698. Genitourinary and reproductive functions, other specified","Genitourinary and reproductive functions, other specified"
"http://who.int/icf#b7309","b7309. Muscle power functions, unspecified","Muscle power functions, unspecified"
"http://who.int/icf#d870","d870. Economic self-sufficiency","Economic self-sufficiency"
"http://who.int/icf#b7300","b7300. Power of isolated muscles and muscle groups","Power of isolated muscles and muscle groups"
"http://who.int/icf#b450","b450. Additional respiratory functions","Additional respiratory functions"
"http://who.int/icf#b7302","b7302. Power of muscles of one side of the body","Power of muscles of one side of the body"
"http://who.int/icf#b7301","b7301. Power of muscles of one limb","Power of muscles of one limb"
"http://who.int/icf#b229","b229. Seeing and related functions, other specified and unspecified","Seeing and related functions, other specified and unspecified"
"http://who.int/icf#d649","d649. Household tasks, other specified and unspecified","Household tasks, other specified and unspecified"
"http://who.int/icf#d9301","d9301. Spirituality","Spirituality"
"http://who.int/icf#d8452","d8452. Terminating a job","Terminating a job"
"http://who.int/icf#d9300","d9300. Organized religion","Organized religion"
"http://who.int/icf#d8450","d8450. Seeking employment","Seeking employment"
"http://who.int/icf#b469","b469. Additional functions and sensations of the cardiovascular and respiratory systems, other specified and unspecified","Additional functions and sensations of the cardiovascular and respiratory systems, other specified and unspecified"
"http://who.int/icf#d8451","d8451. Maintaining a job","Maintaining a job"
"http://who.int/icf#d9309","d9309. Religion and spirituality, unspecified","Religion and spirituality, unspecified"
"http://who.int/icf#d640","d640. Doing housework","Doing housework"
"http://who.int/icf#d9308","d9308. Religion and spirituality, other specified","Religion and spirituality, other specified"
"http://who.int/icf#b220","b220. Sensations associated with the eye and adjoining structures","Sensations associated with the eye and adjoining structures"
"http://who.int/icf#d8458","d8458. Acquiring, keeping and terminating a job, other specified","Acquiring, keeping and terminating a job, other specified"
"http://who.int/icf#d8459","d8459. Acquiring, keeping and terminating a job, unspecified","Acquiring, keeping and terminating a job, unspecified"
"http://who.int/icf#b460","b460. Sensations associated with cardiovascular and respiratory functions","Sensations associated with cardiovascular and respiratory functions"
"http://who.int/icf#b235","b235. Vestibular functions","Vestibular functions"
"http://who.int/icf#b5103","b5103. Manipulation of food in the mouth","Manipulation of food in the mouth"
"http://who.int/icf#d898","d898. Major life areas, other specified","Major life areas, other specified"
"http://who.int/icf#b5104","b5104. Salivation","Salivation"
"http://who.int/icf#d415","d415. Maintaining a body position","Maintaining a body position"
"http://who.int/icf#d899","d899. Major life areas, unspecified","Major life areas, unspecified"
"http://who.int/icf#b5105","b5105. Swallowing","Swallowing"
"http://who.int/icf#b5106","b5106. Regurgitation and vomiting","Regurgitation and vomiting"
"http://who.int/icf#d410","d410. Changing basic body position","Changing basic body position"
"http://who.int/icf#b5108","b5108. Ingestion functions, other specified","Ingestion functions, other specified"
"http://who.int/icf#b5109","b5109. Ingestion functions, unspecified","Ingestion functions, unspecified"
"http://who.int/icf#d650","d650. Caring for household objects","Caring for household objects"
"http://who.int/icf#b230","b230. Hearing functions","Hearing functions"
"http://who.int/icf#b5100","b5100. Sucking","Sucking"
"http://who.int/icf#b5101","b5101. Biting","Biting"
"http://who.int/icf#b5102","b5102. Chewing","Chewing"
"http://who.int/icf#d4758","d4758. Driving, other specified","Driving, other specified"
"http://who.int/icf#d4759","d4759. Driving, unspecified","Driving, unspecified"
"http://who.int/icf#e115","e115. Products and technology for personal use in daily living","Products and technology for personal use in daily living"
"http://who.int/icf#e110","e110. Products or substances for personal consumption","Products or substances for personal consumption"
"http://who.int/icf#d4750","d4750. Driving human-powered transportation","Driving human-powered transportation"
"http://who.int/icf#d4751","d4751. Driving motorized vehicles","Driving motorized vehicles"
"http://who.int/icf#d4752","d4752. Driving animal-powered vehicles","Driving animal-powered vehicles"
"http://who.int/icf#d4508","d4508. Walking, other specified","Walking, other specified"
"http://who.int/icf#d4509","d4509. Walking, unspecified","Walking, unspecified"
"http://who.int/icf#b1408","b1408. Attention functions, other specified","Attention functions, other specified"
"http://who.int/icf#b1409","b1409. Attention functions, unspecified","Attention functions, unspecified"
"http://who.int/icf#b1648","b1648. Higher-level cognitive functions, other specified","Higher-level cognitive functions, other specified"
"http://who.int/icf#b1649","b1649. Higher-level cognitive functions, unspecified","Higher-level cognitive functions, unspecified"
"http://who.int/icf#b1646","b1646. Problem-solving","Problem-solving"
"http://who.int/icf#e125","e125. Products and technology for communication","Products and technology for communication"
"http://who.int/icf#b1402","b1402. Dividing attention","Dividing attention"
"http://who.int/icf#b1644","b1644. Insight","Insight"
"http://who.int/icf#d4500","d4500. Walking short distances","Walking short distances"
"http://who.int/icf#b1403","b1403. Sharing attention","Sharing attention"
"http://who.int/icf#b1645","b1645. Judgement","Judgement"
"http://who.int/icf#d4501","d4501. Walking long distances","Walking long distances"
"http://who.int/icf#b1400","b1400. Sustaining attention","Sustaining attention"
"http://who.int/icf#b1642","b1642. Time management","Time management"
"http://who.int/icf#d4502","d4502. Walking on different surfaces","Walking on different surfaces"
"http://who.int/icf#b1401","b1401. Shifting attention","Shifting attention"
"http://who.int/icf#b1643","b1643. Cognitive flexibility","Cognitive flexibility"
"http://who.int/icf#d4503","d4503. Walking around obstacles","Walking around obstacles"
"http://who.int/icf#b1640","b1640. Abstraction","Abstraction"
"http://who.int/icf#b1641","b1641. Organization and planning","Organization and planning"
"http://who.int/icf#e120","e120. Products and technology for personal indoor and outdoor mobility and transportation","Products and technology for personal indoor and outdoor mobility and transportation"
"http://who.int/icf#b2709","b2709. Sensory functions related to temperature and other stimuli, unspecified","Sensory functions related to temperature and other stimuli, unspecified"
"http://who.int/icf#b2708","b2708. Sensory functions related to temperature and other stimuli, other specified","Sensory functions related to temperature and other stimuli, other specified"
"http://who.int/icf#b2703","b2703. Sensitivity to a noxious stimulus","Sensitivity to a noxious stimulus"
"http://who.int/icf#b2702","b2702. Sensitivity to pressure","Sensitivity to pressure"
"http://who.int/icf#b2701","b2701. Sensitivity to vibration","Sensitivity to vibration"
"http://who.int/icf#b2700","b2700. Sensitivity to temperature","Sensitivity to temperature"
"http://who.int/icf#b7152","b7152. Stability of joints generalized","Stability of joints generalized"
"http://who.int/icf#e135","e135. Products and technology for employment","Products and technology for employment"
"http://who.int/icf#b7159","b7159. Stability of joint functions, unspecified","Stability of joint functions, unspecified"
"http://who.int/icf#e130","e130. Products and technology for education","Products and technology for education"
"http://who.int/icf#b7158","b7158. Stability of joint functions, other specified","Stability of joint functions, other specified"
"http://who.int/icf#d2309","d2309. Carrying out daily routine, unspecified","Carrying out daily routine, unspecified"
"http://who.int/icf#d2308","d2308. Carrying out daily routine, other specified","Carrying out daily routine, other specified"
"http://who.int/icf#b2","b2. CHAPTER 2  SENSORY FUNCTIONS AND PAIN","SENSORY FUNCTIONS AND PAIN"
"http://who.int/icf#b1","b1. CHAPTER 1  MENTAL FUNCTIONS","MENTAL FUNCTIONS"
"http://who.int/icf#b4","b4. CHAPTER 4 FUNCTIONS OF THE CARDIOVASCULAR, HAEMATOLOGICAL, IMMUNOLOGICAL AND RESPIRATORY SYSTEMS","FUNCTIONS OF THE CARDIOVASCULAR, HAEMATOLOGICAL, IMMUNOLOGICAL AND RESPIRATORY SYSTEMS"
"http://who.int/icf#b3","b3. CHAPTER 3 VOICE AND SPEECH FUNCTIONS","VOICE AND SPEECH FUNCTIONS"
"http://who.int/icf#b6","b6. CHAPTER 6  GENITOURINARY AND REPRODUCTIVE FUNCTIONS","GENITOURINARY AND REPRODUCTIVE FUNCTIONS"
"http://who.int/icf#b5","b5. CHAPTER 5 FUNCTIONS OF THE DIGESTIVE, METABOLIC AND ENDOCRINE SYSTEMS","FUNCTIONS OF THE DIGESTIVE, METABOLIC AND ENDOCRINE SYSTEMS"
"http://who.int/icf#b8","b8. CHAPTER 8 FUNCTIONS OF THE SKIN AND RELATED STRUCTURES","FUNCTIONS OF THE SKIN AND RELATED STRUCTURES"
"http://who.int/icf#e1400","e1400. General products and technology for culture, recreation and sport","General products and technology for culture, recreation and sport"
"http://who.int/icf#b7","b7. CHAPTER 7 NEUROMUSCULOSKELETAL AND MOVEMENT-RELATED FUNCTIONS","NEUROMUSCULOSKELETAL AND MOVEMENT-RELATED FUNCTIONS"
"http://who.int/icf#e1401","e1401. Assistive products and technology for culture, recreation and sport","Assistive products and technology for culture, recreation and sport"
"http://who.int/icf#e1408","e1408. Products and technology for culture, recreation and sport, other specified","Products and technology for culture, recreation and sport, other specified"
"http://who.int/icf#e1409","e1409. Products and technology for culture, recreation and sport, unspecified","Products and technology for culture, recreation and sport, unspecified"
"http://who.int/icf#d298","d298. General tasks and demands, other specified","General tasks and demands, other specified"
"http://who.int/icf#e145","e145. Products and technology for the practice of religion and spirituality","Products and technology for the practice of religion and spirituality"
"http://who.int/icf#d299","d299. General tasks and demands, unspecified","General tasks and demands, unspecified"
"http://who.int/icf#d2303","d2303. Managing one's own activity level","Managing one's own activity level"
"http://who.int/icf#d2302","d2302. Completing the daily routine","Completing the daily routine"
"http://who.int/icf#e140","e140. Products and technology for culture, recreation and sport","Products and technology for culture, recreation and sport"
"http://who.int/icf#d2301","d2301. Managing daily routine","Managing daily routine"
"http://who.int/icf#e1","e1. CHAPTER 1  PRODUCTS AND TECHNOLOGY","PRODUCTS AND TECHNOLOGY"
"http://who.int/icf#e2","e2. CHAPTER 2  NATURAL ENVIRONMENT AND HUMAN-MADE CHANGES TO ENVIRONMENT","NATURAL ENVIRONMENT AND HUMAN-MADE CHANGES TO ENVIRONMENT"
"http://who.int/icf#e1651","e1651. Tangible assets","Tangible assets"
"http://who.int/icf#e1650","e1650. Financial assets","Financial assets"
"http://who.int/icf#e1652","e1652. Intangible assets","Intangible assets"
"http://who.int/icf#d469","d469. Walking and moving, other specified and unspecified","Walking and moving, other specified and unspecified"
"http://who.int/icf#b289","b289. Sensation of pain, other specified and unspecified","Sensation of pain, other specified and unspecified"
"http://who.int/icf#d465","d465. Moving around using equipment","Moving around using equipment"
"http://who.int/icf#e1659","e1659. Assets, unspecified","Assets, unspecified"
"http://who.int/icf#e1658","e1658. Assets, other specified","Assets, other specified"
"http://who.int/icf#d220","d220. Undertaking multiple tasks","Undertaking multiple tasks"
"http://who.int/icf#b280","b280. Sensation of pain","Sensation of pain"
"http://who.int/icf#d460","d460. Moving around in different locations","Moving around in different locations"
"http://who.int/icf#b1608","b1608. Thought functions, other specified","Thought functions, other specified"
"http://who.int/icf#b1609","b1609. Thought functions, unspecified","Thought functions, unspecified"
"http://who.int/icf#d4708","d4708. Using transportation, other specified","Using transportation, other specified"
"http://who.int/icf#d4709","d4709. Using transportation, unspecified","Using transportation, unspecified"
"http://who.int/icf#d4702","d4702. Using public motorized transportation","Using public motorized transportation"
"http://who.int/icf#b1602","b1602. Content of thought","Content of thought"
"http://who.int/icf#b7151","b7151. Stability of several joints","Stability of several joints"
"http://who.int/icf#d2","d2. CHAPTER 2  GENERAL TASKS AND DEMANDS","GENERAL TASKS AND DEMANDS"
"http://who.int/icf#b1603","b1603. Control of thought","Control of thought"
"http://who.int/icf#b7150","b7150. Stability of a single joint","Stability of a single joint"
"http://who.int/icf#d1","d1. CHAPTER 1  LEARNING AND APPLYING KNOWLEDGE","LEARNING AND APPLYING KNOWLEDGE"
"http://who.int/icf#d4","d4. CHAPTER 4  MOBILITY","MOBILITY"
"http://who.int/icf#d3","d3. CHAPTER 3  COMMUNICATION","COMMUNICATION"
"http://who.int/icf#d6","d6. CHAPTER 6  DOMESTIC LIFE","DOMESTIC LIFE"
"http://who.int/icf#d5","d5. CHAPTER 5  SELF-CARE","SELF-CARE"
"http://who.int/icf#d8","d8. CHAPTER 8  MAJOR LIFE AREAS","MAJOR LIFE AREAS"
"http://who.int/icf#d7","d7. CHAPTER 7  INTERPERSONAL INTERACTIONS AND RELATIONSHIPS","INTERPERSONAL INTERACTIONS AND RELATIONSHIPS"
"http://who.int/icf#d9","d9. CHAPTER 9  COMMUNITY, SOCIAL AND CIVIC LIFE","COMMUNITY, SOCIAL AND CIVIC LIFE"
"http://who.int/icf#b299","b299. Sensory functions and pain, unspecified","Sensory functions and pain, unspecified"
"http://who.int/icf#b298","b298. Sensory functions and pain, other specified","Sensory functions and pain, other specified"
"http://who.int/icf#b1600","b1600. Pace of thought","Pace of thought"
"http://who.int/icf#b810-b849","b810-b849. Functions of the skin","Functions of the skin"
"http://who.int/icf#d230","d230. Carrying out daily routine","Carrying out daily routine"
"http://who.int/icf#b1601","b1601. Form of thought","Form of thought"
"http://who.int/icf#d4700","d4700. Using human-powered vehicles","Using human-powered vehicles"
"http://who.int/icf#d4701","d4701. Using private motorized transportation","Using private motorized transportation"
"http://who.int/icf#d475","d475. Driving","Driving"
"http://who.int/icf#d470","d470. Using transportation","Using transportation"
"http://who.int/icf#d3602","d3602. Using communication techniques","Using communication techniques"
"http://who.int/icf#d3609","d3609. Using communication devices and techniques, unspecified","Using communication devices and techniques, unspecified"
"http://who.int/icf#d3608","d3608. Using communication devices and techniques, other specified","Using communication devices and techniques, other specified"
"http://who.int/icf#b7359","b7359. Muscle tone functions, unspecified","Muscle tone functions, unspecified"
"http://who.int/icf#b7358","b7358. Muscle tone functions, other specified","Muscle tone functions, other specified"
"http://who.int/icf#d489","d489. Moving around using transportation, other specified and unspecified","Moving around using transportation, other specified and unspecified"
"http://who.int/icf#b7351","b7351. Tone of muscles of one limb","Tone of muscles of one limb"
"http://who.int/icf#b7350","b7350. Tone of isolated muscles and muscle groups","Tone of isolated muscles and muscle groups"
"http://who.int/icf#b7353","b7353. Tone of muscles of lower half of body","Tone of muscles of lower half of body"
"http://who.int/icf#b7352","b7352. Tone of muscles of one side of body","Tone of muscles of one side of body"
"http://who.int/icf#b7355","b7355. Tone of muscles of trunk","Tone of muscles of trunk"
"http://who.int/icf#d3601","d3601. Using writing machines","Using writing machines"
"http://who.int/icf#b7354","b7354. Tone of muscles of all limbs","Tone of muscles of all limbs"
"http://who.int/icf#d3600","d3600. Using telecommunication devices","Using telecommunication devices"
"http://who.int/icf#d480","d480. Riding animals for transportation","Riding animals for transportation"
"http://who.int/icf#b7356","b7356. Tone of all muscles of the body","Tone of all muscles of the body"
"http://who.int/icf#d240","d240. Handling stress and other psychological demands","Handling stress and other psychological demands"
"http://who.int/icf#d840-d859","d840-d859. Work and employment","Work and employment"
"http://who.int/icf#b640-b679","b640-b679. Genital and reproductive functions","Genital and reproductive functions"
"http://who.int/icf#e1200","e1200. General products and technology for personal indoor and outdoor mobility and transportation","General products and technology for personal indoor and outdoor mobility and transportation"
"http://who.int/icf#e1201","e1201. Assistive products and technology for personal indoor and outdoor mobility and transportation","Assistive products and technology for personal indoor and outdoor mobility and transportation"
"http://who.int/icf#d498","d498. Mobility, other specified","Mobility, other specified"
"http://who.int/icf#e1208","e1208. Products and technology for personal indoor and outdoor mobility and transportation, other specified","Products and technology for personal indoor and outdoor mobility and transportation, other specified"
"http://who.int/icf#d499","d499. Mobility, unspecified","Mobility, unspecified"
"http://who.int/icf#e1209","e1209. Products and technology for personal indoor and outdoor mobility and transportation, unspecified","Products and technology for personal indoor and outdoor mobility and transportation, unspecified"
"http://who.int/icf#d5208","d5208. Caring for body parts, other specified","Caring for body parts, other specified"
"http://who.int/icf#d5209","d5209. Caring for body parts, unspecified","Caring for body parts, unspecified"
"http://who.int/icf#d730-d779","d730-d779. Particular interpersonal relationships","Particular interpersonal relationships"
"http://who.int/icf#b1471","b1471. Quality of psychomotor functions","Quality of psychomotor functions"
"http://who.int/icf#d4350","d4350. Pushing with lower extremities","Pushing with lower extremities"
"http://who.int/icf#d4351","d4351. Kicking","Kicking"
"http://who.int/icf#b1470","b1470. Psychomotor control","Psychomotor control"
"http://who.int/icf#b1479","b1479. Psychomotor functions, unspecified","Psychomotor functions, unspecified"
"http://who.int/icf#d5204","d5204. Caring for toenails","Caring for toenails"
"http://who.int/icf#d4358","d4358. Moving objects with lower extremities, other specified","Moving objects with lower extremities, other specified"
"http://who.int/icf#d4359","d4359. Moving objects with lower extremities, unspecified","Moving objects with lower extremities, unspecified"
"http://who.int/icf#b1478","b1478. Psychomotor functions, other specified","Psychomotor functions, other specified"
"http://who.int/icf#d5200","d5200. Caring for skin","Caring for skin"
"http://who.int/icf#d5201","d5201. Caring for teeth","Caring for teeth"
"http://who.int/icf#d5202","d5202. Caring for hair","Caring for hair"
"http://who.int/icf#d5203","d5203. Caring for fingernails","Caring for fingernails"
"http://who.int/icf#d4108","d4108. Changing basic body position, other specified","Changing basic body position, other specified"
"http://who.int/icf#d8708","d8708. Economic self-sufficiency, other specified","Economic self-sufficiency, other specified"
"http://who.int/icf#d4109","d4109. Changing basic body position, unspecified","Changing basic body position, unspecified"
"http://who.int/icf#d8709","d8709. Economic self-sufficiency, unspecified","Economic self-sufficiency, unspecified"
"http://who.int/icf#b810","b810. Protective functions of the skin","Protective functions of the skin"
"http://who.int/icf#d4104","d4104. Standing","Standing"
"http://who.int/icf#d4105","d4105. Bending","Bending"
"http://who.int/icf#d4106","d4106. Shifting the body's centre of gravity","Shifting the body's centre of gravity"
"http://who.int/icf#d4100","d4100. Lying down","Lying down"
"http://who.int/icf#d8700","d8700. Personal economic resources","Personal economic resources"
"http://who.int/icf#d4101","d4101. Squatting","Squatting"
"http://who.int/icf#d8701","d8701. Public economic entitlements","Public economic entitlements"
"http://who.int/icf#d4102","d4102. Kneeling","Kneeling"
"http://who.int/icf#d4103","d4103. Sitting","Sitting"
"http://who.int/icf#b2309","b2309. Hearing functions, unspecified","Hearing functions, unspecified"
"http://who.int/icf#b2308","b2308. Hearing functions, other specified","Hearing functions, other specified"
"http://who.int/icf#d7609","d7609. Family relationships, unspecified","Family relationships, unspecified"
"http://who.int/icf#d7608","d7608. Family relationships, other specified","Family relationships, other specified"
"http://who.int/icf#b140-b189","b140-b189. Specific mental functions","Specific mental functions"
"http://who.int/icf#b820","b820. Repair functions of the skin","Repair functions of the skin"
"http://who.int/icf#d7603","d7603. Extended family relationships","Extended family relationships"
"http://who.int/icf#b2304","b2304. Speech discrimination","Speech discrimination"
"http://who.int/icf#d7602","d7602. Sibling relationships","Sibling relationships"
"http://who.int/icf#b2303","b2303. Lateralization of sound","Lateralization of sound"
"http://who.int/icf#b2302","b2302. Localisation of sound source","Localisation of sound source"
"http://who.int/icf#b2301","b2301. Sound discrimination","Sound discrimination"
"http://who.int/icf#b2300","b2300. Sound detection","Sound detection"
"http://who.int/icf#d650-d669","d650-d669. Caring for household objects and assisting others","Caring for household objects and assisting others"
"http://who.int/icf#d7601","d7601. Child-parent relationships","Child-parent relationships"
"http://who.int/icf#d7600","d7600. Parent-child relationships","Parent-child relationships"
"http://who.int/icf#b110-b139","b110-b139. Global mental functions","Global mental functions"
"http://who.int/icf#b3409","b3409. Alternative vocalization functions, unspecified","Alternative vocalization functions, unspecified"
"http://who.int/icf#b3408","b3408. Alternative vocalization functions, other specified","Alternative vocalization functions, other specified"
"http://who.int/icf#d6506","d6506. Taking care of animals","Taking care of animals"
"http://who.int/icf#d6509","d6509. Caring for household objects, unspecified","Caring for household objects, unspecified"
"http://who.int/icf#d6508","d6508. Caring for household objects, specified","Caring for household objects, specified"
"http://who.int/icf#b830","b830. Other functions of the skin","Other functions of the skin"
"http://who.int/icf#d6503","d6503. Maintaining vehicles","Maintaining vehicles"
"http://who.int/icf#d6502","d6502. Maintaining domestic appliances","Maintaining domestic appliances"
"http://who.int/icf#d6505","d6505. Taking care of plants, indoors and outdoors","Taking care of plants, indoors and outdoors"
"http://who.int/icf#d6504","d6504. Maintaining assistive devices","Maintaining assistive devices"
"http://who.int/icf#b3401","b3401. Making a range of sounds","Making a range of sounds"
"http://who.int/icf#b3400","b3400. Production of notes","Production of notes"
"http://who.int/icf#b710-b729","b710-b729. Functions of the joints and bones","Functions of the joints and bones"
"http://who.int/icf#d6501","d6501. Maintaining dwelling and furnishings","Maintaining dwelling and furnishings"
"http://who.int/icf#d6500","d6500. Making and repairing clothes","Making and repairing clothes"
"http://who.int/icf#d4559","d4559. Moving around, unspecified","Moving around, unspecified"
"http://who.int/icf#b43501","b43501. Non-specific immune response","Non-specific immune response"
